Strike,Maturity,Implied vol.,Option price,Implied delta,Implied gamma,Implied theta,Local delta,Local gamma
4674.47,0.2,0.257813,1497.46,0.993966,0.0000257757,49.8634,0.9914,0.0000336093
4867.9,0.2,0.255469,1308.32,0.984736,0.0000563144,107.95,0.97903,0.0000748387
5061.32,0.2,0.249219,1121.48,0.968519,0.000104948,196.255,0.95778,0.000138962
5254.75,0.2,0.238281,937.459,0.943541,0.000175086,313.046,0.926116,0.000228136
5448.18,0.2,0.233984,762.2,0.897136,0.000280417,492.332,0.868932,0.000357237
5641.6,0.2,0.224609,595.12,0.832923,0.000407497,686.782,0.794235,0.000493261
5835.03,0.2,0.209766,437.17,0.747726,0.000556328,875.652,0.700319,0.000635463
6028.46,0.2,0.204297,306.105,0.627585,0.000676569,1037.15,0.573263,0.000711276
6221.88,0.2,0.18916,189.226,0.488388,0.000769928,1092.81,0.439442,0.000735667
6415.31,0.2,0.185449,111.822,0.344339,0.000724964,1008.81,0.297264,0.000601054
6608.74,0.2,0.177344,56.5004,0.212633,0.000597719,795.388,0.182761,0.000450688
6802.16,0.2,0.176953,28.3099,0.122242,0.000418156,555.218,0.102243,0.000280941
6995.59,0.2,0.175391,12.7038,0.0627067,0.000256667,337.786,0.0534986,0.00016592
7189.02,0.2,0.177344,5.83563,0.0315407,0.000146006,194.29,0.0268062,0.0000888615
7382.44,0.2,0.178125,2.45684,0.0145019,0.0000753974,100.774,0.0128123,0.000046123
7575.87,0.2,0.18125,1.13409,0.00687958,0.0000386546,52.5709,0.0062975,0.0000235912
7769.29,0.2,0.18125,0.431529,0.00276408,0.0000171162,23.2783,0.00270621,0.0000108424
4674.47,0.242105,0.259375,1507.06,0.988709,0.0000387838,91.3732,0.984052,0.0000538263
4867.9,0.242105,0.25625,1319.81,0.976161,0.0000734967,171.069,0.967264,0.000101813
5061.32,0.242105,0.249609,1135.34,0.956374,0.000123586,280.201,0.941435,0.000168406
5254.75,0.242105,0.239844,954.538,0.927272,0.000191903,418.071,0.904406,0.000255556
5448.18,0.242105,0.23457,782.87,0.879388,0.000284504,606.18,0.845366,0.000365419
