date,stock(%),vol
0,1.00,0.223806
,,
0.007671,0.948304,0.228471
0.007671,1.000572,0.212971
0.007671,1.05572,0.17434
,,
0.015342,0.899281,0.231501
0.015342,0.948847,0.236009
0.015342,1.001144,0.198583
0.015342,1.056324,0.132612
0.015342,1.114545,0.185438
,,
0.023014,0.852792,0.225405
0.023014,0.899795,0.249597
0.023014,0.949389,0.231141
0.023014,1.001716,0.1883
0.023014,1.056928,0.093929
0.023014,1.115182,0.168285
0.023014,1.176648,0.195634
,,
0.030685,0.808707,0.218866
0.030685,0.85328,0.236904
0.030685,0.90031,0.257859
0.030685,0.949932,0.222353
0.030685,1.002289,0.187279
0.030685,1.057532,0.086408
0.030685,1.11582,0.160257
0.030685,1.17732,0.187134
0.030685,1.24221,0.200601
,,
0.038356,0.7669,0.216021
0.038356,0.809169,0.226153
0.038356,0.853768,0.239203
0.038356,0.900825,0.249
0.038356,0.950475,0.229032
0.038356,1.002862,0.190294
0.038356,1.058137,0.136553
0.038356,1.116458,0.16204
0.038356,1.177994,0.18233
0.038356,1.242921,0.195026
0.038356,1.311427,0.202933
,,
0.045852,0.727046,0.215038
0.045852,0.767118,0.222912
0.045852,0.809399,0.232029
0.045852,0.854011,0.241875
0.045852,0.901081,0.246963
0.045852,0.950746,0.232248
0.045852,1.003148,0.193515
0.045852,1.058438,0.154468
0.045852,1.116776,0.164828
0.045852,1.178329,0.179491
0.045852,1.243274,0.190736
0.045852,1.3118,0.198612
0.045852,1.384102,0.204102
,,
0.053349,0.689263,0.21449
0.053349,0.727253,0.221463
0.053349,0.767336,0.229073
0.053349,0.80963,0.23732
0.053349,0.854254,0.245226
0.053349,0.901337,0.247938
0.053349,0.951016,0.234083
0.053349,1.003433,0.195131
0.053349,1.058739,0.161789
0.053349,1.117093,0.16642
0.053349,1.178664,0.177482
0.053349,1.243628,0.187326
0.053349,1.312173,0.194935
0.053349,1.384496,0.200607
0.053349,1.460805,0.204839
,,
0.060845,0.653443,0.214073
0.060845,0.689459,0.220526
0.060845,0.72746,0.227418
0.060845,0.767555,0.234764
0.060845,0.80986,0.242383
0.060845,0.854497,0.249079
0.060845,0.901594,0.250122
0.060845,0.951287,0.235104
0.060845,1.003719,0.195078
0.060845,1.05904,0.164303
0.060845,1.117411,0.166582
0.060845,1.178999,0.175677
0.060845,1.243982,0.184486
0.060845,1.312546,0.191772
0.060845,1.38489,0.197504
0.060845,1.46122,0.201945
0.060845,1.541758,0.205384
,,
0.068341,0.619485,0.213698
0.068341,0.653629,0.219754
0.068341,0.689655,0.226189
0.068341,0.727667,0.232999
0.068341,0.767773,0.240139
0.068341,0.81009,0.247335
0.068341,0.85474,0.253204
0.068341,0.90185,0.252681
0.068341,0.951557,0.235501
0.068341,1.004004,0.193947
0.068341,1.059342,0.16435
0.068341,1.117729,0.165633
0.068341,1.179335,0.173824
0.068341,1.244336,0.181994
0.068341,1.31292,0.189014
0.068341,1.385284,0.194749
0.068341,1.461636,0.199334
0.068341,1.542197,0.202966
0.068341,1.627198,0.20582
,,
0.075837,0.587292,0.213338
0.075837,0.619661,0.219037
0.075837,0.653815,0.225105
0.075837,0.689851,0.231526
0.075837,0.727874,0.238274
0.075837,0.767992,0.245276
0.075837,0.810321,0.2522
0.075837,0.854983,0.257411
0.075837,0.902107,0.255228
0.075837,0.951828,0.235389
0.075837,1.00429,0.192003
0.075837,1.059643,0.16313
0.075837,1.118047,0.163976
0.075837,1.17967,0.171906
0.075837,1.24469,0.179736
0.075837,1.313293,0.186577
0.075837,1.385678,0.192297
0.075837,1.462052,0.196983
0.075837,1.542635,0.200767
0.075837,1.627661,0.203795
0.075837,1.717372,0.206189
,,
0.083333,0.556771,0.212865
0.083333,0.587459,0.218196
0.083333,0.619838,0.223925
0.083333,0.654001,0.230008
0.083333,0.690047,0.236421
0.083333,0.728081,0.243137
0.083333,0.76821,0.250074
0.083333,0.810551,0.256845
0.083333,0.855226,0.261448
0.083333,0.902364,0.257498
0.083333,0.952099,0.234866
0.083333,1.004576,0.189775
0.083333,1.059945,0.161391
0.083333,1.118365,0.162002
0.083333,1.180006,0.170026
0.083333,1.245044,0.177743
0.083333,1.313667,0.184478
0.083333,1.386072,0.190178
0.083333,1.462468,0.194934
0.083333,1.543074,0.198835
0.083333,1.628124,0.202006
0.083333,1.717861,0.204562
0.083333,1.812543,0.206568
,,
0.090607,0.52783,0.212472
0.090607,0.556922,0.217402
0.090607,0.587618,0.222781
0.090607,0.620006,0.228548
0.090607,0.654178,0.234653
0.090607,0.690235,0.241065
0.090607,0.728278,0.247773
0.090607,0.768418,0.254696
0.090607,0.810771,0.261377
0.090607,0.855458,0.265356
0.090607,0.902608,0.259513
0.090607,0.952357,0.23409
0.090607,1.004848,0.187454
0.090607,1.060232,0.159616
0.090607,1.118669,0.159961
