Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
1,1,0.123,5200,0.833,1082.848,0.25,0.248,0.002
1,2,0.123,5200,0.833,2.609,0.25,0.248,0.002
1,1,0.123,5400,0.865,887.315,0.233,0.234,-0.001
1,2,0.123,5400,0.865,5.95,0.233,0.234,-0.001
1,1,0.123,5600,0.897,695.631,0.22,0.219,0.002
1,2,0.123,5600,0.897,13.14,0.22,0.219,0.001
1,1,0.123,5800,0.929,514.19,0.205,0.209,-0.005
1,2,0.123,5800,0.929,30.574,0.205,0.209,-0.005
1,1,0.123,5850,0.937,469.788,0.203,0.204,-0.001
1,2,0.123,5850,0.937,35.89,0.203,0.204,-0.001
1,1,0.123,5900,0.945,425.387,0.2,0.198,0.002
1,2,0.123,5900,0.945,41.207,0.2,0.198,0.002
1,1,0.123,5950,0.953,380.985,0.196,0.19,0.007
1,2,0.123,5950,0.953,46.524,0.196,0.19,0.007
1,1,0.123,6000,0.961,344.085,0.193,0.192,0.002
1,2,0.123,6000,0.961,59.343,0.193,0.192,0.002
1,1,0.123,6050,0.969,309.365,0.19,0.193,-0.003
1,2,0.123,6050,0.969,74.341,0.19,0.193,-0.003
1,1,0.123,6100,0.977,274.645,0.187,0.192,-0.005
1,2,0.123,6100,0.977,89.339,0.187,0.192,-0.005
1,2,0.123,5000,0.801,0.891,0.256,0.256,0
1,2,0.123,6150,0.985,104.338,0.184,0.188,-0.004
1,1,0.123,6200,0.993,205.204,0.181,0.182,-0.001
1,2,0.123,6200,0.993,119.336,0.181,0.182,-0.001
1,1,0.123,6250,1.001,170.484,0.179,0.174,0.005
1,2,0.123,6250,1.001,134.334,0.179,0.174,0.005
1,1,0.123,6300,1.009,141.035,0.177,0.169,0.009
1,2,0.123,6300,1.009,154.603,0.177,0.169,0.009
1,1,0.123,6350,1.017,123.53,0.175,0.174,0.001
1,2,0.123,6350,1.017,186.818,0.175,0.174,0.001
