Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
1,1,"0,044",6650,"1,07","1,544","0,186","0,152","0,034"
1,2,"0,121",9000,"1,448","2740,06","0,369",-1,"1,369"
-1,1,"0,121",9200,"1,481",0,"0,325","0,3","0,025"
1,2,"0,121",9200,"1,481","2938,885","0,398",-1,"1,398"
-1,1,"0,121",9600,"1,545",0,"0,35","0,3","0,05"
1,2,"0,121",9600,"1,545","3336,534","0,444",-1,"1,444"
-1,1,"0,121",10000,"1,609",0,"0,388","0,3","0,087"
1,2,"0,121",10000,"1,609","3734,184","0,481",-1,"1,481"
1,2,"0,121",8800,"1,416","2541,236","0,35",-1,"1,35"
1,1,"0,121",7100,"1,143","2,07","0,177","0,17","0,006"
-1,1,"0,121",8800,"1,416",0,"0,3","0,25","0,05"
-1,1,"0,121",9000,"1,448",0,"0,3","0,3",0
-1,2,"0,121",3600,"0,579",0,"0,463","0,3","0,162"
1,1,"0,121",3800,"0,612","2429,384","0,519",-1,"1,519"
-1,2,"0,121",3800,"0,612","0,002","0,425","0,3","0,125"
1,1,"0,121",4000,"0,644","2230,571","0,481",-1,"1,481"
1,2,"0,121",4000,"0,644","0,013","0,425","0,3","0,125"
1,1,"0,121",4200,"0,676","2031,802","0,439",-1,"1,439"
1,2,"0,121",4200,"0,676","0,069","0,411","0,3","0,111"
1,1,"0,121",4400,"0,708","1833,144","0,404",-1,"1,404"
1,2,"0,121",4400,"0,708","0,236","0,388","0,338","0,05"
1,1,"0,121",4600,"0,74","1634,702","0,372",-1,"1,372"
1,2,"0,121",4600,"0,74","0,619","0,359","0,325","0,034"
1,1,"0,121",4800,"0,772","1437,025","0,345","0,319","0,027"
1,2,"0,121",4800,"0,772","1,766","0,341","0,319","0,022"
1,1,"0,121",5000,"0,805","1240,401","0,319","0,306","0,013"
1,2,"0,121",5000,"0,805","3,967","0,316","0,306","0,009"
1,1,"0,121",5200,"0,837","1044,868","0,294","0,286","0,008"
1,2,"0,121",5200,"0,837","7,259","0,292","0,286","0,006"
1,1,"0,121",5250,"0,845","996,918","0,289","0,284","0,004"
1,2,"0,121",5250,"0,845","9,015","0,287","0,285","0,002"
1,1,"0,121",5300,"0,853","949,207","0,284","0,283","0,001"
1,2,"0,121",5300,"0,853","11,01","0,282","0,283",0
1,1,"0,121",5350,"0,861","901,497","0,278","0,279",0
1,2,"0,121",5350,"0,861","13,006","0,277","0,279","-0,002"
1,1,"0,121",5400,"0,869","853,786","0,271","0,273","-0,002"
1,2,"0,121",5400,"0,869","15,001","0,27","0,273","-0,003"
1,1,"0,121",5450,"0,877","806,075","0,266","0,267","-0,001"
1,2,"0,121",5450,"0,877","16,996","0,266","0,267","-0,002"
