Maturity,Type,Strike,Price
"0,0438356164384",1,3600,"2628,8"
"0,0438356164384",2,3600,"0,1"
"0,0438356164384",1,3800,"2429,2"
"0,0438356164384",2,3800,"0,1"
"0,0438356164384",1,4000,"2229,6"
"0,0438356164384",2,4000,"0,1"
"0,0438356164384",1,4200,"2030,1"
"0,0438356164384",2,4200,"0,1"
"0,0438356164384",1,4400,"1830,5"
"0,0438356164384",2,4400,"0,1"
"0,0438356164384",1,4600,"1631,1"
"0,0438356164384",2,4600,"0,2"
"0,0438356164384",1,4700,"1531,4"
"0,0438356164384",2,4700,"0,3"
"0,0438356164384",1,4800,"1431,7"
"0,0438356164384",2,4800,"0,4"
"0,0438356164384",1,4900,1332
"0,0438356164384",2,4900,"0,5"
"0,0438356164384",1,5000,"1232,2"
"0,0438356164384",2,5000,"0,5"
"0,0438356164384",1,5100,"1132,7"
"0,0438356164384",2,5100,"0,8"
"0,0438356164384",1,5200,"1033,6"
"0,0438356164384",2,5200,"1,5"
"0,0438356164384",1,5250,"983,6"
"0,0438356164384",2,5250,"1,4"
"0,0438356164384",1,5300,"934,2"
"0,0438356164384",2,5300,"1,8"
"0,0438356164384",1,5350,"884,5"
"0,0438356164384",2,5350,"2,1"
"0,0438356164384",1,5400,"834,8"
"0,0438356164384",2,5400,"2,3"
"0,0438356164384",1,5450,"785,6"
"0,0438356164384",2,5450,3
"0,0438356164384",1,5500,"735,8"
"0,0438356164384",2,5500,3
"0,0438356164384",1,5550,"686,8"
"0,0438356164384",2,5550,"3,9"
"0,0438356164384",1,5600,"638,3"
"0,0438356164384",2,5600,"5,3"
"0,0438356164384",1,5650,"589,7"
"0,0438356164384",2,5650,"6,6"
"0,0438356164384",1,5700,"541,1"
"0,0438356164384",2,5700,8
"0,0438356164384",1,5750,"492,3"
"0,0438356164384",2,5750,"9,1"
"0,0438356164384",1,5800,"445,8"
"0,0438356164384",2,5800,"12,5"
"0,0438356164384",1,5850,"399,3"
"0,0438356164384",2,5850,"15,8"
"0,0438356164384",1,5900,"353,7"
