Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
1,1,0.03,4900,0.835,982.067,0.486,-1,1.486
1,2,0.03,4900,0.835,0.552,0.481,0.406,0.075
1,1,0.03,5000,0.852,882.456,0.46,0.381,0.079
1,2,0.03,5000,0.852,0.805,0.46,0.381,0.079
1,1,0.03,5100,0.869,783.826,0.43,0.381,0.048
1,2,0.03,5100,0.869,2.038,0.427,0.381,0.046
1,1,0.03,5200,0.886,686.391,0.398,0.381,0.017
1,2,0.03,5200,0.886,4.466,0.397,0.381,0.016
1,1,0.03,5300,0.903,588.955,0.361,0.36,0.001
1,2,0.03,5300,0.903,6.894,0.361,0.361,0
1,1,0.03,5400,0.92,491.519,0.334,0.328,0.006
1,2,0.03,5400,0.92,9.322,0.334,0.328,0.006
1,1,0.03,5500,0.937,399.167,0.309,0.318,-0.009
1,2,0.03,5500,0.937,16.833,0.309,0.318,-0.008
1,1,0.03,5600,0.954,312.546,0.287,0.31,-0.023
1,2,0.03,5600,0.954,30.076,0.287,0.31,-0.023
1,1,0.03,5650,0.963,269.236,0.272,0.297,-0.025
1,2,0.03,5650,0.963,36.697,0.272,0.297,-0.025
1,1,0.03,5700,0.971,225.925,0.265,0.279,-0.014
1,2,0.03,5700,0.971,43.318,0.265,0.279,-0.014
1,1,0.03,5750,0.98,182.615,0.257,0.256,0.002
1,2,0.03,5750,0.98,49.939,0.257,0.256,0.002
1,1,0.03,5800,0.988,139.304,0.243,0.228,0.015
1,2,0.03,5800,0.988,56.561,0.243,0.228,0.015
1,1,0.03,5850,0.997,95.993,0.239,0.193,0.046
1,2,0.03,5850,0.997,63.182,0.239,0.193,0.046
1,1,0.03,5900,1.005,65.331,0.236,0.18,0.055
1,2,0.03,5900,1.005,82.451,0.236,0.18,0.055
1,1,0.03,5950,1.014,58.058,0.226,0.214,0.012
1,2,0.03,5950,1.014,125.11,0.226,0.214,0.012
1,1,0.03,6000,1.022,50.785,0.226,0.239,-0.014
1,2,0.03,6000,1.022,167.768,0.226,0.239,-0.014
1,1,0.03,6050,1.031,43.512,0.227,0.259,-0.032
1,2,0.03,6050,1.031,210.427,0.227,0.259,-0.032
1,1,0.03,6100,1.039,36.239,0.221,0.273,-0.052
1,2,0.03,6100,1.039,253.086,0.221,0.273,-0.052
1,1,0.03,6150,1.048,28.966,0.224,0.281,-0.057
1,2,0.03,6150,1.048,295.744,0.224,0.281,-0.057
1,1,0.03,6200,1.056,21.692,0.228,0.283,-0.055
1,2,0.03,6200,1.056,338.403,0.228,0.283,-0.055
1,1,0.03,6250,1.065,14.419,0.224,0.277,-0.052
1,2,0.03,6250,1.065,381.062,0.225,0.277,-0.052
