date,stock(%),vol
0,1.00,0.290674
,,
0.008767,0.939299,0.295574
0.008767,0.999983,0.226515
0.008767,1.064588,0.066563
,,
0.017534,0.882283,0.305872
0.017534,0.939283,0.295783
0.017534,0.999966,0.166181
0.017534,1.064569,0.066563
0.017534,1.133347,0.180859
,,
0.026301,0.828727,0.294055
0.026301,0.882268,0.35285
0.026301,0.939267,0.242326
0.026301,0.999949,0.144274
0.026301,1.064551,0.066563
0.026301,1.133327,0.161294
0.026301,1.206547,0.196795
,,
0.035068,0.778422,0.257559
0.035068,0.828713,0.33895
0.035068,0.882253,0.346926
0.035068,0.939251,0.197262
0.035068,0.999932,0.15846
0.035068,1.064533,0.066563
0.035068,1.133308,0.151242
0.035068,1.206526,0.184689
0.035068,1.284474,0.203024
,,
0.043836,0.731171,0.236665
0.043836,0.778409,0.272031
0.043836,0.828699,0.317612
0.043836,0.882237,0.317191
0.043836,0.939235,0.239114
0.043836,0.999915,0.176553
0.043836,1.064515,0.11311
0.043836,1.133289,0.149956
0.043836,1.206505,0.177516
0.043836,1.284453,0.195257
0.043836,1.367435,0.206674
,,
0.051735,0.687008,0.23082
0.051735,0.731393,0.252289
0.051735,0.778645,0.280005
0.051735,0.82895,0.30738
0.051735,0.882505,0.303513
0.051735,0.939519,0.251953
0.051735,1.000218,0.187195
0.051735,1.064837,0.130714
0.051735,1.133632,0.150096
0.051735,1.206871,0.172457
0.051735,1.284841,0.188995
0.051735,1.367849,0.200556
0.051735,1.45622,0.208441
,,
0.059635,0.645513,0.22813
0.059635,0.687216,0.244648
0.059635,0.731614,0.264143
0.059635,0.778881,0.286194
0.059635,0.829201,0.303872
0.059635,0.882772,0.297621
0.059635,0.939804,0.254574
0.059635,1.000521,0.192101
0.059635,1.06516,0.138345
0.059635,1.133975,0.149524
0.059635,1.207236,0.168514
0.059635,1.285231,0.183892
0.059635,1.368264,0.195362
0.059635,1.456661,0.203655
0.059635,1.55077,0.209616
,,
0.067534,0.606523,0.226399
0.067534,0.645708,0.240493
0.067534,0.687424,0.256332
0.067534,0.731836,0.273986
0.067534,0.779117,0.292117
0.067534,0.829452,0.304259
0.067534,0.883039,0.295292
0.067534,0.940088,0.252877
0.067534,1.000823,0.193831
0.067534,1.065482,0.141412
0.067534,1.134318,0.147931
0.067534,1.207602,0.165148
0.067534,1.28562,0.179662
0.067534,1.368678,0.190957
0.067534,1.457102,0.199478
0.067534,1.551239,0.205828
0.067534,1.651458,0.210505
,,
0.075434,0.569889,0.224977
0.075434,0.606707,0.23752
0.075434,0.645904,0.251378
0.075434,0.687633,0.266535
0.075434,0.732057,0.282705
0.075434,0.779352,0.298164
0.075434,0.829703,0.306825
0.075434,0.883307,0.294428
0.075434,0.940373,0.249174
0.075434,1.001127,0.194414
0.075434,1.065805,0.142447
0.075434,1.134662,0.145672
0.075434,1.207967,0.16216
0.075434,1.286009,0.176119
0.075434,1.369092,0.187238
0.075434,1.457544,0.195872
0.075434,1.551709,0.202494
0.075434,1.651958,0.207516
0.075434,1.758684,0.211246
,,
0.083333,0.535467,0.225019
0.083333,0.570061,0.236621
0.083333,0.606891,0.24921
0.083333,0.646099,0.262805
0.083333,0.687841,0.277278
0.083333,0.732279,0.29213
0.083333,0.779588,0.305416
0.083333,0.829954,0.311232
0.083333,0.883574,0.293911
0.083333,0.940658,0.243919
0.083333,1.00143,0.195242
0.083333,1.066128,0.143118
0.083333,1.135006,0.142828
0.083333,1.208333,0.159094
0.083333,1.286398,0.172648
0.083333,1.369507,0.183556
0.083333,1.457985,0.192236
0.083333,1.552179,0.19908
0.083333,1.652458,0.204429
0.083333,1.759217,0.20855
0.083333,1.872872,0.211635
,,
0.092637,0.503148,0.224064
0.092637,0.535654,0.235187
0.092637,0.57026,0.246999
0.092637,0.607102,0.25962
0.092637,0.646324,0.273016
0.092637,0.68808,0.286995
0.092637,0.732534,0.300925
0.092637,0.77986,0.312703
0.092637,0.830243,0.316538
0.092637,0.883882,0.293493
0.092637,0.940986,0.239147
0.092637,1.001779,0.197511
0.092637,1.066499,0.144511
0.092637,1.135401,0.14039
0.092637,1.208754,0.156725
0.092637,1.286847,0.169954
0.092637,1.369984,0.180617
0.092637,1.458493,0.189252
0.092637,1.55272,0.196228
0.092637,1.653034,0.201829
0.092637,1.75983,0.206286
0.092637,1.873524,0.209773
0.092637,1.994565,0.212379
,,
0.101941,0.472779,0.222912
0.101941,0.503323,0.233171
0.101941,0.53584,0.244371
0.101941,0.570459,0.256324
0.101941,0.607314,0.268989
0.101941,0.646549,0.282271
0.101941,0.68832,0.295921
0.101941,0.73279,0.309155
0.101941,0.780132,0.319672
0.101941,0.830533,0.322108
0.101941,0.88419,0.29323
0.101941,0.941314,0.236833
0.101941,1.002128,0.201318
0.101941,1.066871,0.147379
0.101941,1.135797,0.139275
0.101941,1.209176,0.155317
0.101941,1.287295,0.168035
0.101941,1.370462,0.178352
0.101941,1.459001,0.186858
0.101941,1.553261,0.193889
0.101941,1.65361,0.199678
0.101941,1.760443,0.204423
0.101941,1.874177,0.208292
0.101941,1.99526,0.211406
0.101941,2.124165,0.213866
,,
0.111244,0.444243,0.221606
0.111244,0.472944,0.230861
0.111244,0.503498,0.241285
0.111244,0.536027,0.252634
0.111244,0.570658,0.264736
0.111244,0.607525,0.277486
0.111244,0.646775,0.290743
0.111244,0.68856,0.304185
0.111244,0.733045,0.316799
0.111244,0.780404,0.325885
0.111244,0.830822,0.326874
0.111244,0.884498,0.294347
0.111244,0.941642,0.240031
0.111244,1.002477,0.205131
0.111244,1.067243,0.152307
0.111244,1.136192,0.140625
0.111244,1.209597,0.155084
0.111244,1.287744,0.166855
0.111244,1.370939,0.176677
0.111244,1.45951,0.184985
0.111244,1.553802,0.192008
0.111244,1.654186,0.19793
0.111244,1.761056,0.20292
0.111244,1.87483,0.207133
0.111244,1.995955,0.21072
0.111244,2.124905,0.213866
0.111244,2.262186,0.213866
,,
0.120548,0.417429,0.220039
0.120548,0.444398,0.228183
0.120548,0.473108,0.237756
0.120548,0.503674,0.248429
0.120548,0.536214,0.259985
0.120548,0.570856,0.272268
0.120548,0.607737,0.285157
0.120548,0.647,0.298479
0.120548,0.6888,0.311809
0.120548,0.7333,0.323812
0.120548,0.780676,0.331097
0.120548,0.831112,0.327402
0.120548,0.884806,0.300897
0.120548,0.94197,0.253558
0.120548,1.002826,0.20279
0.120548,1.067614,0.160429
0.120548,1.136588,0.146301
0.120548,1.210018,0.155904
0.120548,1.288192,0.166254
0.120548,1.371417,0.175496
0.120548,1.460018,0.183559
0.120548,1.554344,0.190539
0.120548,1.654763,0.196551
0.120548,1.76167,0.201734
0.120548,1.875484,0.20624
0.120548,1.996651,0.210222
0.120548,2.125645,0.213866
0.120548,2.262974,0.213866
0.120548,2.409175,0.213866
,,
0.129772,0.392252,0.218044
0.129772,0.417593,0.22504
0.129772,0.444572,0.23377
0.129772,0.473294,0.243764
0.129772,0.503871,0.254751
0.129772,0.536424,0.266561
0.129772,0.57108,0.279068
0.129772,0.607975,0.292154
0.129772,0.647254,0.305627
0.129772,0.68907,0.318935
0.129772,0.733588,0.330384
0.129772,0.780982,0.336089
0.129772,0.831438,0.329857
0.129772,0.885153,0.304216
0.129772,0.942339,0.257541
0.129772,1.00322,0.203028
0.129772,1.068033,0.164826
0.129772,1.137034,0.148766
0.129772,1.210493,0.156498
0.129772,1.288698,0.165896
0.129772,1.371955,0.174656
0.129772,1.460591,0.18249
0.129772,1.554953,0.189402
0.129772,1.655412,0.195472
0.129772,1.762361,0.200808
0.129772,1.876219,0.20555
0.129772,1.997434,0.209848
0.129772,2.126479,0.213866
0.129772,2.263862,0.213866
0.129772,2.41012,0.213866
0.129772,2.565827,0.213866
,,
0.138995,0.368592,0.213866
0.138995,0.392405,0.220777
0.138995,0.417757,0.229013
0.138995,0.444746,0.238479
0.138995,0.47348,0.248968
0.138995,0.504069,0.260315
0.138995,0.536635,0.272413
0.138995,0.571304,0.285179
0.138995,0.608214,0.298518
0.138995,0.647508,0.312219
0.138995,0.689341,0.325571
