Strike,Maturity,Implied vol.,Option price,Implied delta,Implied gamma,Implied theta,Local delta,Local gamma
4211,0.2,0.3,1829.02,0.994968,0.0000104936,22.785,0.993471,0.0000194614
4400.97,0.2,0.290625,1641.6,0.991879,0.0000212359,44.6693,0.988236,0.0000401624
4590.94,0.2,0.2875,1455.45,0.984475,0.0000439773,91.5106,0.976742,0.0000818396
4780.91,0.2,0.277344,1270.7,0.973226,0.0000769751,154.516,0.959525,0.00013975
4970.88,0.2,0.265234,1088.03,0.955418,0.000126322,242.501,0.933914,0.000220599
5160.85,0.2,0.257031,910.626,0.924149,0.00020162,375.081,0.891651,0.0003326
5350.82,0.2,0.239453,735.68,0.884668,0.00029747,515.547,0.842298,0.000455493
5540.79,0.2,0.231445,574.675,0.816786,0.000422431,707.635,0.760817,0.000596698
5730.76,0.2,0.215625,421.305,0.730734,0.000566136,883.538,0.668754,0.000718295
5920.73,0.2,0.207031,292.46,0.612573,0.000685265,1026.83,0.542702,0.000776905
6110.71,0.2,0.192383,180.802,0.474147,0.00076756,1068.77,0.412003,0.000756577
6300.68,0.2,0.190234,108.528,0.335145,0.000710975,978.924,0.27066,0.000555368
6490.65,0.2,0.17334,48.8226,0.195536,0.000591678,742.316,0.149048,0.000368484
6680.62,0.2,0.180859,27.7909,0.119956,0.000410742,537.669,0.0881437,0.000225661
6870.59,0.2,0.1625,7.72968,0.0443733,0.000214286,252.03,0.0299111,0.0000887653
7060.56,0.2,0.175,4.75065,0.0272043,0.000133179,168.686,0.0186952,0.0000561587
7250.53,0.2,0.173438,1.77161,0.0111924,0.0000629911,79.0728,0.00747924,0.0000235522
7440.5,0.2,0.175,0.695244,0.00475605,0.0000293663,37.1957,0.00323744,0.0000108025
7630.47,0.2,0.18125,0.356434,0.00246236,0.0000156952,20.5898,0.001699,0.00000574961
4211,0.242105,0.296875,1837.44,0.992686,0.0000165536,43.0573,0.98959,0.0000327121
4400.97,0.242105,0.289063,1651.05,0.987788,0.0000309577,78.4043,0.981608,0.0000608349
4590.94,0.242105,0.284375,1466.36,0.978164,0.0000564178,140.568,0.966736,0.000108225
4780.91,0.242105,0.274219,1283.36,0.964383,0.0000914276,219.661,0.946023,0.000169045
4970.88,0.242105,0.263672,1103.17,0.943103,0.000141683,327.311,0.915923,0.000249924
5160.85,0.242105,0.255469,928.824,0.909324,0.000211774,474.012,0.870661,0.000349608
5350.82,0.242105,0.239258,756.897,0.867842,0.000298306,625.328,0.819168,0.000456823
5540.79,0.242105,0.233496,601.003,0.799622,0.000402381,823.184,0.737866,0.000562261
5730.76,0.242105,0.218652,450.835,0.718548,0.000518761,993.805,0.65031,0.000653239
5920.73,0.242105,0.212207,325.816,0.611002,0.00060836,1131.1,0.5353,0.000680668
6110.71,0.242105,0.198047,213.009,0.488787,0.00067877,1177.8,0.418174,0.000667169
6300.68,0.242105,0.195703,137.153,0.364327,0.000647486,1110.22,0.294648,0.000529833
6490.65,0.242105,0.179688,70.2777,0.235337,0.000577638,909.396,0.181711,0.000393273
6680.62,0.242105,0.184961,42.6373,0.155046,0.000434991,704.919,0.115029,0.000260075
6870.59,0.242105,0.167188,14.9969,0.0704373,0.000272477,399.129,0.0483471,0.000126877
7060.56,0.242105,0.177344,9.41382,0.0449543,0.000180341,280.213,0.0310936,0.0000832034
7250.53,0.242105,0.175781,4.03316,0.0217666,0.0000999336,153.909,0.0142922,0.0000403456
7440.5,0.242105,0.175,1.67217,0.00995034,0.0000512144,78.5253,0.00657733,0.0000198947
7630.47,0.242105,0.18125,0.910871,0.00574263,0.0000304756,48.3961,0.0036756,0.0000113114
4211,0.284211,0.29375,1846.01,0.989995,0.0000225215,68.0441,0.985186,0.0000456468
4400.97,0.284211,0.286719,1660.77,0.983418,0.0000394858,116.443,0.974599,0.0000789924
4590.94,0.284211,0.28125,1477.64,0.971946,0.0000664181,192.13,0.956786,0.00012898
4780.91,0.284211,0.272266,1296.49,0.955642,0.000102757,287.753,0.933106,0.000189785
4970.88,0.284211,0.263281,1119,0.931382,0.000152454,412.834,0.899182,0.000267103
5160.85,0.284211,0.255664,947.762,0.895548,0.000217261,571.305,0.851783,0.000354151
5350.82,0.284211,0.241797,779.623,0.851808,0.000294921,733.452,0.79769,0.000446026
5540.79,0.284211,0.236426,627.572,0.785455,0.000382114,929.187,0.718941,0.000525687
5730.76,0.284211,0.222363,480.132,0.709007,0.000478406,1094.14,0.635648,0.000595986
5920.73,0.284211,0.216992,357.812,0.610461,0.000549319,1225.98,0.530228,0.000609271
6110.71,0.284211,0.203125,243.956,0.500563,0.000610995,1276.49,0.42385,0.000600829
6300.68,0.284211,0.200781,165.417,0.387726,0.000593882,1226.42,0.313486,0.000501832
6490.65,0.284211,0.185254,92.6674,0.268317,0.000554153,1055.87,0.208484,0.000400502
6680.62,0.284211,0.189258,59.4791,0.187159,0.000442566,861.484,0.14008,0.000283167
6870.59,0.284211,0.175,26.2908,0.10225,0.000317612,571.676,0.0716762,0.000165833
7060.56,0.284211,0.180859,16.1503,0.0658492,0.000220698,410.539,0.0460599,0.000110705
7250.53,0.284211,0.178516,7.78514,0.0353567,0.000136038,249.777,0.0237339,0.0000603511
7440.5,0.284211,0.176563,3.46529,0.0177328,0.0000771614,140.124,0.0117014,0.0000320763
7630.47,0.284211,0.18125,1.99004,0.0105268,0.0000479362,89.3629,0.00690413,0.0000193152
4211,0.326316,0.290625,1854.87,0.987111,0.0000280243,96.1792,0.980262,0.0000580421
4400.97,0.326316,0.285156,1670.92,0.978714,0.0000472414,159.081,0.967175,0.0000948017
4590.94,0.326316,0.279687,1489.41,0.965413,0.000075184,248.32,0.946904,0.000145085
4780.91,0.326316,0.270703,1310.07,0.947427,0.000111285,355.748,0.920948,0.000203904
