Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
1,1,0.121,5200,0.84,1028.358,0.255,0.253,0.002
1,2,0.121,5200,0.84,3.598,0.254,0.253,0.001
1,1,0.121,5400,0.872,833.914,0.237,0.238,0
1,2,0.121,5400,0.872,8.062,0.237,0.238,-0.001
1,1,0.121,5600,0.904,644.437,0.222,0.223,-0.001
1,2,0.121,5600,0.904,17.493,0.222,0.223,-0.001
1,1,0.121,5700,0.92,553.549,0.218,0.217,0.001
1,2,0.121,5700,0.92,26.06,0.218,0.217,0.001
1,1,0.121,5750,0.929,509.669,0.214,0.215,-0.001
1,2,0.121,5750,0.929,31.906,0.214,0.215,-0.001
1,1,0.121,5800,0.937,465.789,0.207,0.21,-0.003
1,2,0.121,5800,0.937,37.753,0.207,0.21,-0.003
1,1,0.121,5850,0.945,421.908,0.205,0.204,0.001
1,2,0.121,5850,0.945,43.6,0.205,0.204,0.001
1,1,0.121,5900,0.953,378.028,0.201,0.196,0.004
1,2,0.121,5900,0.953,49.447,0.201,0.196,0.004
1,1,0.121,5950,0.961,337.962,0.194,0.193,0.002
1,2,0.121,5950,0.961,59.107,0.194,0.193,0.002
1,1,0.121,6000,0.969,303.448,0.192,0.195,-0.003
1,2,0.121,6000,0.969,74.32,0.192,0.195,-0.003
1,1,0.121,6050,0.977,268.933,0.19,0.194,-0.004
1,2,0.121,6050,0.977,89.533,0.19,0.194,-0.004
1,1,0.121,6100,0.985,234.419,0.187,0.19,-0.003
1,2,0.121,6100,0.985,104.746,0.187,0.19,-0.003
1,2,0.121,5000,0.807,1.296,0.272,0.263,0.009
1,2,0.121,6150,0.993,119.959,0.186,0.184,0.002
1,1,0.121,6200,1.001,165.391,0.18,0.175,0.005
1,2,0.121,6200,1.001,135.172,0.18,0.175,0.005
1,1,0.121,6250,1.009,137.577,0.178,0.171,0.007
1,2,0.121,6250,1.009,157.085,0.179,0.171,0.007
1,1,0.121,6300,1.017,118.894,0.172,0.175,-0.003
