4491.61	0.0833	0.30625	1147.14
4652.02	0.0833	0.30625	988.942
4812.44	0.0833	0.30625	833.337
4972.85	0.0833	0.289844	679.602
5133.27	0.0833	0.282031	533.704
5293.68	0.0833	0.254687	390
5454.1	0.0833	0.250977	270.743
5614.51	0.0833	0.218164	155.105
5774.92	0.0833	0.226563	91.5986
5935.34	0.0833	0.20625	37.7316
6095.75	0.0833	0.204688	15.4218
6256.17	0.0833	0.213672	7.1061
6416.58	0.0833	0.204688	1.86226
6577	0.0833	0.221875	1.03915

4491.61	0.148779	0.303906	1164.52
4652.02	0.148779	0.292969	1009.54
4812.44	0.148779	0.28125	857.137
4972.85	0.148779	0.264062	707.213
5133.27	0.148779	0.253516	565.61
5293.68	0.148779	0.233203	427.499
5454.1	0.148779	0.226855	310.912
5614.51	0.148779	0.205859	200.063
5774.92	0.148779	0.20498	127.157
5935.34	0.148779	0.191406	66.4035
6095.75	0.148779	0.186328	32.6366
6256.17	0.148779	0.189453	16.7942
6416.58	0.148779	0.176953	5.24346
6577	0.148779	0.189062	3.15352

4491.61	0.214257	0.295313	1183.96
4652.02	0.214257	0.288672	1033.39
4812.44	0.214257	0.279297	886.119
4972.85	0.214257	0.267969	743.106
5133.27	0.214257	0.259375	608.669
5293.68	0.214257	0.245508	479.314
5454.1	0.214257	0.237891	366.749
5614.51	0.214257	0.222949	261.092
5774.92	0.214257	0.216797	180.684
5935.34	0.214257	0.205273	112.632
6095.75	0.214257	0.196875	65.4419
6256.17	0.214257	0.195703	38.332
6416.58	0.214257	0.180859	15.7962
6577	0.214257	0.188672	9.93691

4491.61	0.279736	0.288672	1203.67
4652.02	0.279736	0.285156	1057.55
4812.44	0.279736	0.277539	914.752
4972.85	0.279736	0.269727	777.657
5133.27	0.279736	0.261621	647.685
5293.68	0.279736	0.250195	523.41
5454.1	0.279736	0.241406	411.956
5614.51	0.279736	0.228516	307.988
5774.92	0.279736	0.220312	223.3
5935.34	0.279736	0.210742	152.042
6095.75	0.279736	0.200977	96.3627
6256.17	0.279736	0.198828	61.9169
6416.58	0.279736	0.18418	30.4462
6577	0.279736	0.189844	20.2377

4491.61	0.345214	0.278125	1221.32
4652.02	0.345214	0.275391	1077.99
4812.44	0.345214	0.267969	937.209
4972.85	0.345214	0.260547	802.375
5133.27	0.345214	0.251758	673.273
5293.68	0.345214	0.241113	550.293
5454.1	0.345214	0.23252	439.138
5614.51	0.345214	0.222559	337.459
5774.92	0.345214	0.214648	251.292
5935.34	0.345214	0.207715	180.11
6095.75	0.345214	0.198242	120.015
6256.17	0.345214	0.196387	81.7397
6416.58	0.345214	0.182617	44.2621
6577	0.345214	0.187109	30.6446

4491.61	0.410693	0.282813	1245.18
4652.02	0.410693	0.278516	1104.66
4812.44	0.410693	0.270313	966.475
4972.85	0.410693	0.263281	834.996
5133.27	0.410693	0.25498	708.905
5293.68	0.410693	0.24668	590.501
5454.1	0.410693	0.238379	481.114
5614.51	0.410693	0.229834	381.519
5774.92	0.410693	0.221191	292.983
5935.34	0.410693	0.214355	219.21
6095.75	0.410693	0.203906	153.061
6256.17	0.410693	0.201563	109.591
6416.58	0.410693	0.188965	66.1216
6577	0.410693	0.190723	46.4548

4491.61	0.476171	0.283594	1267.63
4652.02	0.476171	0.280469	1130.71
4812.44	0.476171	0.273438	996.14
4972.85	0.476171	0.268262	869.253
5133.27	0.476171	0.260449	746.197
5293.68	0.476171	0.252637	630.453
5454.1	0.476171	0.243652	521.227
5614.51	0.476171	0.234961	421.502
5774.92	0.476171	0.225098	330.012
5935.34	0.476171	0.218066	253.728
6095.75	0.476171	0.206543	182.278
6256.17	0.476171	0.203418	134.41
6416.58	0.476171	0.191699	86.5414
6577	0.476171	0.190723	60.9939

4491.61	0.54165	0.280078	1285.96
4652.02	0.54165	0.27666	1150.79
4812.44	0.54165	0.269531	1017.7
4972.85	0.54165	0.264258	892.067
5133.27	0.54165	0.255957	769.282
5293.68	0.54165	0.2479	653.648
5454.1	0.54165	0.238574	543.773
5614.51	0.54165	0.230811	444.908
5774.92	0.54165	0.22124	352.586
5935.34	0.54165	0.21543	276.718
6095.75	0.54165	0.204492	203.431
6256.17	0.54165	0.201563	153.522
6416.58	0.54165	0.191211	103.613
6577	0.54165	0.188867	73.7572

4491.61	0.607129	0.274414	1301.81
4652.02	0.607129	0.270508	1167.63
4812.44	0.607129	0.263379	1035.33
4972.85	0.607129	0.25752	909.741
5133.27	0.607129	0.248877	786.805
5293.68	0.607129	0.242041	672.939
5454.1	0.607129	0.233447	563.847
5614.51	0.607129	0.227148	466.909
5774.92	0.607129	0.218457	374.926
5935.34	0.607129	0.214307	300.616
6095.75	0.607129	0.204639	227.005
6256.17	0.607129	0.202637	176.418
6416.58	0.607129	0.194482	125.832
6577	0.607129	0.191113	91.3752

4491.61	0.672607	0.271387	1323.16
4652.02	0.672607	0.267188	1190.03
4812.44	0.672607	0.260254	1058.86
4972.85	0.672607	0.255762	936.062
5133.27	0.672607	0.248047	815.079
5293.68	0.672607	0.242773	704.134
5454.1	0.672607	0.234717	596.102
5614.51	0.672607	0.229395	500.623
5774.92	0.672607	0.220654	407.545
5935.34	0.672607	0.21665	332.222
6095.75	0.672607	0.207422	256.9
6256.17	0.672607	0.204932	203.015
6416.58	0.672607	0.198047	150.91
6577	0.672607	0.193945	112.077

4491.61	0.738086	0.267676	1340.82
4652.02	0.738086	0.26377	1209.04
4812.44	0.738086	0.257666	1079.81
4972.85	0.738086	0.254004	959.08
5133.27	0.738086	0.247168	840.001
