date,stock(%),vol
0,1.00,0.327278
,,
0.0075,0.940111,0.2924
0.0075,1.000314,0.313792
0.0075,1.064372,0.21846
,,
0.015,0.883809,0.278317
0.015,0.940406,0.329844
0.015,1.000628,0.289497
0.015,1.064706,0.201307
0.015,1.132887,0.20331
,,
0.0225,0.830879,0.258221
0.0225,0.884086,0.320042
0.0225,0.940701,0.341937
0.0225,1.000942,0.258109
0.0225,1.06504,0.179143
0.0225,1.133243,0.18433
0.0225,1.205813,0.212179
,,
0.03,0.781118,0.239396
0.03,0.831139,0.290414
0.03,0.884364,0.349424
0.03,0.940997,0.335533
0.03,1.001256,0.223334
0.03,1.065374,0.157973
0.03,1.133599,0.165338
0.03,1.206192,0.205982
0.03,1.283434,0.217905
,,
0.037619,0.734341,0.227508
0.037619,0.781367,0.257972
0.037619,0.831404,0.321191
0.037619,0.884645,0.366528
0.037619,0.941296,0.316263
0.037619,1.001574,0.191468
0.037619,1.065713,0.141929
0.037619,1.133959,0.147757
0.037619,1.206575,0.20101
0.037619,1.283842,0.216442
0.037619,1.366056,0.219764
,,
0.045238,0.690365,0.222346
0.045238,0.734574,0.235566
0.045238,0.781615,0.280892
0.045238,0.831668,0.350227
0.045238,0.884926,0.371597
0.045238,0.941595,0.289205
0.045238,1.001893,0.166898
0.045238,1.066052,0.132583
0.045238,1.13432,0.131648
0.045238,1.206959,0.196666
0.045238,1.28425,0.215279
0.045238,1.366491,0.219505
0.045238,1.453998,0.220152
,,
0.052857,0.649022,0.220702
0.052857,0.690584,0.224937
0.052857,0.734808,0.247683
0.052857,0.781863,0.309261
0.052857,0.831932,0.37502
0.052857,0.885208,0.364815
0.052857,0.941894,0.258663
0.052857,1.002211,0.151607
0.052857,1.066391,0.129642
0.052857,1.13468,0.116455
0.052857,1.207343,0.192625
0.052857,1.284658,0.214185
0.052857,1.366925,0.219289
0.052857,1.45446,0.220116
0.052857,1.547601,0.22021
,,
0.060476,0.610156,0.220304
0.060476,0.649229,0.221326
0.060476,0.690804,0.229424
0.060476,0.735042,0.26618
0.060476,0.782112,0.341557
0.060476,0.832197,0.393048
0.060476,0.885489,0.346515
0.060476,0.942194,0.22857
0.060476,1.00253,0.144867
0.060476,1.06673,0.131077
0.060476,1.135041,0.101129
0.060476,1.207727,0.188679
0.060476,1.285067,0.213071
0.060476,1.36736,0.219068
0.060476,1.454923,0.220084
0.060476,1.548093,0.220206
0.060476,1.64723,0.220216
,,
0.068095,0.573616,0.220229
0.068095,0.61035,0.22042
0.068095,0.649435,0.222506
0.068095,0.691024,0.23744
0.068095,0.735275,0.292645
0.068095,0.782361,0.374856
0.068095,0.832461,0.4022
0.068095,0.885771,0.317517
0.068095,0.942493,0.202092
0.068095,1.002849,0.144541
0.068095,1.067069,0.133882
0.068095,1.135402,0.083881
0.068095,1.208111,0.184653
0.068095,1.285475,0.211883
0.068095,1.367795,0.218822
0.068095,1.455385,0.220048
0.068095,1.548585,0.220202
0.068095,1.647753,0.220216
0.068095,1.753272,0.220217
,,
0.075714,0.539265,0.220218
0.075714,0.573799,0.220247
0.075714,0.610544,0.22065
0.075714,0.649642,0.224817
0.075714,0.691243,0.251331
0.075714,0.735509,0.327413
0.075714,0.782609,0.405731
0.075714,0.832726,0.400464
0.075714,0.886052,0.279957
0.075714,0.942793,0.180343
0.075714,1.003168,0.148235
0.075714,1.067408,0.135263
0.075714,1.135763,0.062188
0.075714,1.208495,0.180399
0.075714,1.285884,0.210579
0.075714,1.368229,0.218538
0.075714,1.455848,0.220004
0.075714,1.549077,0.220196
0.075714,1.648277,0.220215
0.075714,1.753829,0.220217
0.075714,1.866141,0.220217
,,
0.083333,0.506971,0.220217
0.083333,0.539437,0.220221
0.083333,0.573981,0.220284
0.083333,0.610738,0.221145
0.083333,0.649848,0.229499
0.083333,0.691463,0.275226
0.083333,0.735743,0.370767
0.083333,0.782858,0.431646
0.083333,0.832991,0.385158
0.083333,0.886334,0.235835
0.083333,0.943093,0.160328
0.083333,1.003486,0.152025
0.083333,1.067748,0.137234
0.083333,1.136124,0.062188
0.083333,1.208879,0.175785
0.083333,1.286293,0.209058
0.083333,1.368664,0.218185
0.083333,1.456311,0.219946
0.083333,1.54957,0.220189
0.083333,1.648801,0.220215
0.083333,1.754387,0.220217
0.083333,1.866734,0.220217
0.083333,1.986276,0.220217
,,
0.091324,0.476616,0.220217
0.091324,0.507138,0.220217
0.091324,0.539614,0.220224
0.091324,0.57417,0.22035
0.091324,0.610938,0.222037
0.091324,0.650061,0.237703
0.091324,0.69169,0.31031
0.091324,0.735984,0.414936
0.091324,0.783115,0.444735
0.091324,0.833264,0.355976
0.091324,0.886625,0.191744
0.091324,0.943402,0.141326
0.091324,1.003816,0.153912
0.091324,1.068098,0.136744
0.091324,1.136497,0.062188
0.091324,1.209276,0.172327
0.091324,1.286715,0.207731
0.091324,1.369114,0.217865
0.091324,1.456789,0.219892
0.091324,1.550078,0.220183
0.091324,1.649342,0.220214
0.091324,1.754963,0.220217
0.091324,1.867347,0.220217
0.091324,1.986928,0.220217
0.091324,2.114166,0.220217
,,
0.099315,0.448079,0.220217
0.099315,0.476773,0.220217
0.099315,0.507304,0.220218
0.099315,0.539791,0.220231
0.099315,0.574358,0.220462
0.099315,0.611139,0.223531
0.099315,0.650275,0.250922
0.099315,0.691917,0.355104
0.099315,0.736226,0.449597
0.099315,0.783372,0.438665
0.099315,0.833538,0.318416
0.099315,0.886916,0.146548
0.099315,0.943712,0.147282
0.099315,1.004145,0.158008
0.099315,1.068448,0.104829
0.099315,1.13687,0.062188
0.099315,1.209672,0.17056
0.099315,1.287137,0.206837
0.099315,1.369563,0.217604
0.099315,1.457267,0.219842
0.099315,1.550587,0.220176
0.099315,1.649883,0.220213
0.099315,1.755538,0.220217
0.099315,1.867959,0.220217
0.099315,1.98758,0.220217
0.099315,2.11486,0.220217
0.099315,2.250291,0.220217
,,
0.107306,0.42125,0.220217
0.107306,0.448226,0.220217
0.107306,0.476929,0.220217
0.107306,0.507471,0.220218
0.107306,0.539968,0.22024
0.107306,0.574546,0.220609
0.107306,0.611339,0.225491
0.107306,0.650488,0.267645
0.107306,0.692144,0.397169
0.107306,0.736467,0.459148
0.107306,0.783629,0.41297
0.107306,0.833811,0.289115
0.107306,0.887207,0.139655
0.107306,0.944022,0.171067
0.107306,1.004475,0.159304
0.107306,1.068799,0.062188
0.107306,1.137243,0.062188
0.107306,1.210069,0.170574
0.107306,1.28756,0.206476
0.107306,1.370012,0.217432
0.107306,1.457745,0.2198
0.107306,1.551096,0.220169
0.107306,1.650425,0.220213
0.107306,1.756115,0.220217
0.107306,1.868572,0.220217
0.107306,1.988232,0.220217
0.107306,2.115554,0.220217
0.107306,2.25103,0.220217
0.107306,2.395181,0.220217
,,
0.115297,0.396027,0.220217
0.115297,0.421388,0.220217
0.115297,0.448373,0.220217
0.115297,0.477086,0.220217
0.115297,0.507637,0.220218
0.115297,0.540145,0.220245
0.115297,0.574735,0.220694
0.115297,0.61154,0.226601
0.115297,0.650701,0.277005
0.115297,0.692371,0.407794
0.115297,0.736709,0.431855
0.115297,0.783886,0.382187
0.115297,0.834085,0.292045
0.115297,0.887498,0.215987
0.115297,0.944331,0.215594
0.115297,1.004804,0.185463
0.115297,1.06915,0.062188
0.115297,1.137616,0.062188
0.115297,1.210466,0.172832
0.115297,1.287982,0.206691
0.115297,1.370462,0.217345
0.115297,1.458223,0.219761
0.115297,1.551605,0.220161
0.115297,1.650966,0.220212
0.115297,1.756691,0.220217
0.115297,1.869186,0.220217
0.115297,1.988884,0.220217
0.115297,2.116248,0.220217
0.115297,2.251768,0.220217
0.115297,2.395967,0.220217
0.115297,2.549399,0.220217
,,
0.123288,0.372315,0.220217
0.123288,0.396157,0.220217
0.123288,0.421526,0.220217
0.123288,0.44852,0.220217
0.123288,0.477242,0.220217
0.123288,0.507804,0.220218
0.123288,0.540322,0.220242
0.123288,0.574924,0.220582
0.123288,0.61174,0.224258
0.123288,0.650915,0.249871
0.123288,0.692598,0.324522
0.123288,0.736951,0.368759
0.123288,0.784144,0.364577
0.123288,0.834358,0.325292
0.123288,0.887789,0.279405
0.123288,0.944641,0.249783
0.123288,1.005134,0.196165
0.123288,1.069501,0.120807
0.123288,1.137989,0.120844
0.123288,1.210864,0.179867
0.123288,1.288405,0.207356
0.123288,1.370912,0.217251
0.123288,1.458702,0.219706
0.123288,1.552114,0.220149
0.123288,1.651508,0.22021
0.123288,1.757267,0.220216
0.123288,1.869799,0.220217
0.123288,1.989537,0.220217
0.123288,2.116943,0.220217
0.123288,2.252507,0.220217
0.123288,2.396753,0.220217
0.123288,2.550236,0.220217
0.123288,2.713548,0.220217
,,
0.131963,0.350038,0.220217
0.131963,0.372454,0.220217
0.131963,0.396305,0.220217
0.131963,0.421683,0.220217
0.131963,0.448687,0.220217
0.131963,0.47742,0.220217
0.131963,0.507993,0.220219
0.131963,0.540524,0.220245
0.131963,0.575138,0.220556
0.131963,0.611969,0.223272
0.131963,0.651158,0.238331
0.131963,0.692857,0.280095
0.131963,0.737226,0.324689
0.131963,0.784436,0.347393
0.131963,0.83467,0.339655
0.131963,0.88812,0.308633
0.131963,0.944993,0.261738
0.131963,1.005509,0.210234
0.131963,1.0699,0.154525
0.131963,1.138414,0.148134
0.131963,1.211315,0.185882
0.131963,1.288885,0.208138
0.131963,1.371423,0.217202
0.131963,1.459246,0.219661
0.131963,1.552693,0.220139
0.131963,1.652124,0.220208
0.131963,1.757923,0.220216
0.131963,1.870496,0.220217
0.131963,1.990279,0.220217
0.131963,2.117732,0.220217
0.131963,2.253347,0.220217
0.131963,2.397647,0.220217
0.131963,2.551187,0.220217
0.131963,2.71456,0.220217
0.131963,2.888394,0.220217
,,
0.140639,0.329094,0.220217
0.140639,0.350169,0.220217
0.140639,0.372593,0.220217
0.140639,0.396453,0.220217
0.140639,0.421841,0.220217
0.140639,0.448855,0.220217
0.140639,0.477598,0.220217
0.140639,0.508183,0.22022
0.140639,0.540726,0.220257
0.140639,0.575352,0.220652
0.140639,0.612197,0.223558
0.140639,0.651401,0.236438
0.140639,0.693115,0.266239
0.140639,0.737501,0.304713
0.140639,0.784729,0.337446
0.140639,0.834981,0.346613
0.140639,0.888451,0.324728
0.140639,0.945346,0.271731
0.140639,1.005884,0.221145
0.140639,1.070299,0.171311
0.140639,1.138838,0.159151
0.140639,1.211767,0.189149
0.140639,1.289366,0.208336
0.140639,1.371934,0.217049
0.140639,1.45979,0.219602
0.140639,1.553272,0.220127
0.140639,1.65274,0.220207
0.140639,1.758578,0.220216
0.140639,1.871194,0.220217
0.140639,1.991021,0.220217
0.140639,2.118522,0.220217
0.140639,2.254188,0.220217
0.140639,2.398541,0.220217
0.140639,2.552139,0.220217
0.140639,2.715572,0.220217
0.140639,2.889472,0.220217
0.140639,3.074507,0.220217
,,
0.149315,0.309403,0.220217
0.149315,0.329217,0.220217
0.149315,0.350299,0.220217
0.149315,0.372732,0.220217
0.149315,0.396601,0.220217
0.149315,0.421998,0.220217
0.149315,0.449022,0.220217
0.149315,0.477776,0.220217
0.149315,0.508372,0.220222
0.149315,0.540927,0.220277
0.149315,0.575567,0.220817
0.149315,0.612425,0.224374
0.149315,0.651644,0.238072
0.149315,0.693373,0.266071
0.149315,0.737776,0.302278
0.149315,0.785021,0.337476
0.149315,0.835292,0.351429
0.149315,0.888783,0.329189
0.149315,0.945698,0.271939
0.149315,1.006259,0.224689
0.149315,1.070698,0.17709
0.149315,1.139263,0.161362
0.149315,1.212219,0.18965
0.149315,1.289847,0.207911
0.149315,1.372446,0.216801
0.149315,1.460335,0.219535
0.149315,1.553851,0.220116
0.149315,1.653357,0.220206
0.149315,1.759234,0.220216
0.149315,1.871892,0.220217
0.149315,1.991764,0.220217
0.149315,2.119312,0.220217
0.149315,2.255028,0.220217
0.149315,2.399436,0.220217
0.149315,2.553091,0.220217
0.149315,2.716585,0.220217
0.149315,2.890549,0.220217
0.149315,3.075654,0.220217
0.149315,3.272613,0.220217
,,
0.157991,0.290891,0.220217
0.157991,0.309519,0.220217
0.157991,0.32934,0.220217
0.157991,0.35043,0.220217
0.157991,0.372871,0.220217
0.157991,0.396749,0.220217
0.157991,0.422155,0.220217
0.157991,0.449189,0.220217
0.157991,0.477955,0.220217
0.157991,0.508562,0.220224
0.157991,0.541129,0.220303
0.157991,0.575782,0.221023
0.157991,0.612654,0.225371
0.157991,0.651887,0.240588
0.157991,0.693632,0.269678
0.157991,0.738051,0.306907
0.157991,0.785314,0.343485
0.157991,0.835604,0.35631
0.157991,0.889114,0.326314
0.157991,0.946051,0.264252
0.157991,1.006634,0.221713
0.157991,1.071097,0.177393
0.157991,1.139688,0.159458
0.157991,1.212671,0.188757
0.157991,1.290328,0.207219
0.157991,1.372958,0.216534
0.157991,1.460879,0.219471
0.157991,1.554431,0.220105
0.157991,1.653973,0.220205
0.157991,1.75989,0.220216
0.157991,1.87259,0.220217
0.157991,1.992507,0.220217
0.157991,2.120103,0.220217
0.157991,2.255869,0.220217
0.157991,2.400331,0.220217
0.157991,2.554043,0.220217
0.157991,2.717598,0.220217
0.157991,2.891628,0.220217
0.157991,3.076801,0.220217
0.157991,3.273833,0.220217
0.157991,3.483482,0.220217
,,
0.166667,0.273486,0.220217
0.166667,0.290999,0.220217
0.166667,0.309634,0.220217
0.166667,0.329462,0.220217
0.166667,0.350561,0.220217
0.166667,0.37301,0.220217
0.166667,0.396896,0.220217
0.166667,0.422313,0.220217
0.166667,0.449357,0.220217
0.166667,0.478133,0.220218
0.166667,0.508751,0.220227
0.166667,0.541331,0.220332
0.166667,0.575996,0.221243
0.166667,0.612882,0.226391
0.166667,0.65213,0.243185
0.166667,0.693891,0.273953
0.166667,0.738326,0.313139
0.166667,0.785607,0.350889
0.166667,0.835916,0.360554
0.166667,0.889446,0.320639
0.166667,0.946404,0.256774
0.166667,1.00701,0.218149
0.166667,1.071497,0.177601
0.166667,1.140113,0.157811
0.166667,1.213123,0.187743
0.166667,1.290809,0.206584
0.166667,1.37347,0.21631
0.166667,1.461424,0.219421
0.166667,1.555011,0.220098
0.166667,1.65459,0.220204
0.166667,1.760547,0.220216
0.166667,1.873288,0.220217
0.166667,1.99325,0.220217
0.166667,2.120893,0.220217
0.166667,2.256711,0.220217
0.166667,2.401226,0.220217
0.166667,2.554995,0.220217
0.166667,2.718612,0.220217
0.166667,2.892706,0.220217
0.166667,3.077949,0.220217
0.166667,3.275054,0.220217
0.166667,3.484782,0.220217
0.166667,3.70794,0.220217
,,
0.175,0.257115,0.220217
0.175,0.27358,0.220217
0.175,0.2911,0.220217
0.175,0.309741,0.220217
0.175,0.329577,0.220217
0.175,0.350682,0.220217
0.175,0.373139,0.220217
0.175,0.397034,0.220217
0.175,0.422459,0.220217
0.175,0.449513,0.220217
0.175,0.478298,0.220218
0.175,0.508928,0.220231
0.175,0.541518,0.220373
0.175,0.576196,0.22153
0.175,0.613094,0.227642
0.175,0.652356,0.246257
0.175,0.694131,0.278955
0.175,0.738582,0.319993
0.175,0.785879,0.357901
0.175,0.836205,0.364033
0.175,0.889754,0.315769
0.175,0.946732,0.255274
0.175,1.007359,0.217326
0.175,1.071868,0.181023
0.175,1.140508,0.155934
0.175,1.213544,0.186904
0.175,1.291256,0.206027
0.175,1.373946,0.216078
0.175,1.46193,0.219361
0.175,1.555549,0.220089
0.175,1.655163,0.220204
0.175,1.761156,0.220216
0.175,1.873937,0.220217
0.175,1.99394,0.220217
0.175,2.121628,0.220217
0.175,2.257492,0.220217
0.175,2.402057,0.220217
0.175,2.55588,0.220217
0.175,2.719553,0.220217
0.175,2.893708,0.220217
0.175,3.079015,0.220217
0.175,3.276188,0.220217
0.175,3.485989,0.220217
0.175,3.709224,0.220217
0.175,3.946755,0.220217
,,
0.183333,0.241725,0.220217
0.183333,0.257204,0.220217
0.183333,0.273675,0.220217
0.183333,0.291201,0.220217
0.183333,0.309849,0.220217
0.183333,0.329691,0.220217
0.183333,0.350803,0.220217
0.183333,0.373268,0.220217
0.183333,0.397171,0.220217
0.183333,0.422605,0.220217
0.183333,0.449668,0.220217
0.183333,0.478464,0.220218
0.183333,0.509104,0.220236
0.183333,0.541706,0.220425
0.183333,0.576396,0.221883
0.183333,0.613307,0.229115
0.183333,0.652582,0.249786
0.183333,0.694371,0.284568
0.183333,0.738838,0.326901
0.183333,0.786151,0.363798
0.183333,0.836495,0.368166
0.183333,0.890062,0.313693
0.183333,0.94706,0.26034
0.183333,1.007707,0.218454
0.183333,1.072239,0.185836
0.183333,1.140903,0.154097
0.183333,1.213964,0.185669
0.183333,1.291703,0.205486
0.183333,1.374421,0.215865
0.183333,1.462436,0.2193
0.183333,1.556088,0.220078
