Strike,Maturity,Implied vol.,Option price,Implied delta,Implied gamma,Implied theta,Local delta,Local gamma
4026.76,0.2,0.31875,1761.64,0.995608,0.0000151185,31.8936,0.993845,0.0000225422
4208.42,0.2,0.3125,1583.01,0.990899,0.0000299902,62.026,0.986765,0.0000478605
4390.07,0.2,0.307031,1405.79,0.981995,0.000055567,112.913,0.973751,0.0000907528
4571.73,0.2,0.295703,1229.96,0.969055,0.0000913176,178.713,0.955587,0.000146941
4753.39,0.2,0.283984,1056.81,0.948762,0.000143531,269.765,0.928017,0.000225261
4935.05,0.2,0.272656,888,0.917535,0.00021648,390.641,0.887964,0.000323796
5116.71,0.2,0.253516,721.426,0.878233,0.000309544,519.364,0.841462,0.000432776
5298.36,0.2,0.245117,568.801,0.811748,0.000427606,693.685,0.764095,0.00055824
5480.02,0.2,0.226855,421.394,0.730709,0.000565562,849.131,0.678935,0.000674062
5661.68,0.2,0.219336,299.286,0.618017,0.000675662,980.809,0.558147,0.000734037
5843.34,0.2,0.202246,188.818,0.48748,0.000766243,1025.63,0.433538,0.000743628
6025,0.2,0.199219,116.492,0.353161,0.00072498,955.875,0.296408,0.000588121
6206.66,0.2,0.179297,53.5793,0.212298,0.000628763,746.113,0.172399,0.000432308
6388.31,0.2,0.186523,31.0813,0.133459,0.000448891,554.139,0.10473,0.00027518
6569.97,0.2,0.165625,8.83503,0.0506357,0.000244493,268.002,0.0377734,0.000119588
6751.63,0.2,0.178906,5.62942,0.0319957,0.000155923,184.621,0.024756,0.0000801168
6933.29,0.2,0.179688,2.42381,0.0148441,0.0000811892,96.5519,0.0117386,0.0000406454
7114.95,0.2,0.184375,1.11493,0.00753812,0.0000438552,53.514,0.00606383,0.000022505
7296.6,0.2,0.190625,0.627275,0.00409866,0.0000246899,31.1489,0.00356831,0.0000136003
4026.76,0.242105,0.310938,1769.31,0.9931,0.0000211154,52.6008,0.98996,0.0000342894
4208.42,0.242105,0.307813,1591.99,0.986138,0.0000399366,98.4865,0.979456,0.0000675202
4390.07,0.242105,0.303906,1416.59,0.974301,0.0000689247,167.816,0.962313,0.000116444
4571.73,0.242105,0.29375,1242.92,0.958321,0.000106598,250.868,0.939723,0.000176429
4753.39,0.242105,0.283984,1072.83,0.934267,0.00015861,360.865,0.906804,0.000254154
4935.05,0.242105,0.273828,907.508,0.89999,0.000225991,495.778,0.862702,0.00034249
5116.71,0.242105,0.25752,745.16,0.857584,0.000308504,636.488,0.811609,0.000437457
5298.36,0.242105,0.248242,595.862,0.79376,0.000405462,806.389,0.736974,0.00053095
5480.02,0.242105,0.230469,450.782,0.7179,0.000517587,955.683,0.6567,0.000617823
5661.68,0.242105,0.223633,331.09,0.615854,0.00060325,1080.82,0.547276,0.000649962
5843.34,0.242105,0.206738,219.319,0.49988,0.000681576,1128.9,0.43577,0.00065685
6025,0.242105,0.203125,143.421,0.378913,0.00066155,1076.58,0.314845,0.000549413
6206.66,0.242105,0.183984,73.8316,0.248768,0.000608538,896.99,0.200597,0.000437967
6388.31,0.242105,0.18916,45.522,0.166718,0.000466699,707.27,0.130035,0.000300279
6569.97,0.242105,0.172266,17.2123,0.0805258,0.000306391,422.857,0.0594724,0.000162591
6751.63,0.242105,0.180859,10.5415,0.0507839,0.000203971,295.548,0.0383564,0.000109374
6933.29,0.242105,0.180469,4.93608,0.0261888,0.000118949,171.981,0.0196737,0.0000603107
7114.95,0.242105,0.18125,2.2877,0.0131664,0.0000659701,95.7954,0.0103171,0.0000343696
7296.6,0.242105,0.1875,1.34637,0.00781446,0.0000404571,60.7735,0.0063439,0.0000217741
4026.76,0.284211,0.310938,1777.49,0.989157,0.0000291519,85.25,0.983909,0.0000496851
4208.42,0.284211,0.309375,1601.85,0.979541,0.0000512699,149.177,0.969646,0.0000886317
4390.07,0.284211,0.303906,1428.37,0.965622,0.0000810103,231.545,0.949011,0.000139448
4571.73,0.284211,0.29375,1256.75,0.947387,0.000118585,327.615,0.923271,0.000198622
4753.39,0.284211,0.283984,1089.05,0.921329,0.000167973,448.629,0.887652,0.000270715
4935.05,0.284211,0.272461,925.643,0.886874,0.00022907,586.987,0.843091,0.000348669
5116.71,0.284211,0.256445,765.424,0.844448,0.000303219,731.317,0.791864,0.000430992
5298.36,0.284211,0.246582,617.878,0.783193,0.000387852,899.462,0.720416,0.000507444
5480.02,0.284211,0.229004,473.884,0.711421,0.000485917,1046.55,0.644329,0.000579673
5661.68,0.284211,0.223828,356.898,0.615821,0.000556235,1170.92,0.54194,0.00059736
5843.34,0.284211,0.208203,245.024,0.50942,0.000624408,1222.67,0.438612,0.000602024
6025,0.284211,0.20498,167.459,0.398278,0.000613729,1183.16,0.328978,0.000519302
6206.66,0.284211,0.186914,93.3544,0.27732,0.000584405,1027.33,0.22233,0.000433668
6388.31,0.284211,0.190625,60.101,0.194566,0.000470918,844.268,0.150928,0.000313644
6569.97,0.284211,0.175977,26.8477,0.10752,0.000342723,567.223,0.0795249,0.00019362
6751.63,0.284211,0.180859,16.2034,0.0685545,0.000238198,405.167,0.051394,0.000132699
6933.29,0.284211,0.180078,8.20879,0.0383595,0.000150802,255.4,0.0283322,0.0000786994
7114.95,0.284211,0.178906,3.92535,0.0200158,0.0000883026,148.578,0.0153247,0.0000465887
7296.6,0.284211,0.185156,2.41543,0.012668,0.0000576463,100.384,0.00983017,0.0000308326
4026.76,0.326316,0.314844,1786.51,0.983802,0.0000382056,129.89,0.975781,0.0000668612
4208.42,0.326316,0.310938,1612.5,0.972555,0.000061028,204.906,0.958577,0.00010813
4390.07,0.326316,0.303516,1440.47,0.957368,0.0000902308,295.725,0.936055,0.000157838
4571.73,0.326316,0.291797,1270.15,0.938387,0.000126133,397.432,0.909183,0.000213837
4753.39,0.326316,0.280273,1103.6,0.912394,0.000172164,521.046,0.873482,0.000279887
4935.05,0.326316,0.26748,940.973,0.878649,0.000228788,660.813,0.830158,0.000350018
5116.71,0.326316,0.251563,781.804,0.836897,0.000297488,808.106,0.78009,0.000423759
5298.36,0.326316,0.242285,636.083,0.77706,0.000374251,979.136,0.710635,0.00048885
5480.02,0.326316,0.225879,493.495,0.707815,0.000462365,1127.75,0.636829,0.000551573
5661.68,0.326316,0.22207,378.671,0.616892,0.000522721,1253.47,0.53973,0.00056165
5843.34,0.326316,0.207471,266.747,0.51728,0.000584348,1309.13,0.442277,0.00056549
6025,0.326316,0.205176,188.706,0.413479,0.000577547,1279.58,0.340687,0.000496472
6206.66,0.326316,0.188477,111.652,0.30024,0.000561457,1142.68,0.239842,0.000426598
6388.31,0.326316,0.191504,74.7045,0.218468,0.000468545,968.907,0.169241,0.000321846
6569.97,0.326316,0.179102,37.7573,0.132956,0.000365015,705.932,0.0986406,0.000217093
6751.63,0.326316,0.181445,22.8852,0.0869246,0.000265363,519.923,0.0645875,0.000152523
6933.29,0.326316,0.179883,12.2954,0.0514451,0.000178467,346.658,0.0376219,0.0000957405
7114.95,0.326316,0.177344,6.00539,0.0279965,0.000110232,211.095,0.0208552,0.0000585726
