Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
-1,2,0.03,3600,0.588,0,0.9,-1,1.9
1,1,0.03,7100,1.16,0.011,0.275,0.25,0.025
-1,2,0.03,3800,0.621,0,0.791,-1,1.791
1,1,0.03,7000,1.143,0.014,0.25,0.225,0.025
-1,2,0.03,4000,0.653,0,0.725,-1,1.725
1,1,0.03,6900,1.127,0.131,0.25,0.225,0.025
-1,2,0.03,4200,0.686,0,0.65,-1,1.65
1,1,0.03,6800,1.111,0.262,0.237,0.225,0.012
-1,2,0.03,4400,0.719,0,0.575,-1,1.575
1,2,0.03,6700,1.094,569.75,0.225,-1,1.225
-1,2,0.03,4600,0.751,0,0.5,-1,1.5
1,1,0.03,6700,1.094,0.393,0.222,0.203,0.019
1,2,0.03,4700,0.768,0,0.5,-1,1.5
1,2,0.03,6650,1.086,519.889,0.222,-1,1.222
1,2,0.03,4800,0.784,0.006,0.5,0.3,0.2
1,1,0.03,6650,1.086,0.459,0.219,0.188,0.031
1,2,0.03,4900,0.8,0.014,0.481,0.3,0.181
1,2,0.03,6600,1.078,470.028,0.214,-1,1.214
1,2,0.03,5000,0.817,0.021,0.444,0.3,0.144
1,1,0.03,5100,0.833,1028.512,0.425,-1,1.425
1,2,0.03,5100,0.833,0.224,0.416,0.375,0.041
1,1,0.03,5200,0.849,928.961,0.398,-1,1.398
1,2,0.03,5200,0.849,0.526,0.397,0.363,0.034
1,1,0.03,5250,0.857,879.186,0.388,0.356,0.031
1,2,0.03,5250,0.857,0.676,0.384,0.356,0.028
1,1,0.03,5300,0.866,829.41,0.369,0.344,0.025
1,2,0.03,5300,0.866,0.827,0.369,0.344,0.025
1,1,0.03,5350,0.874,779.635,0.356,0.331,0.025
1,2,0.03,5350,0.874,0.978,0.356,0.331,0.025
1,1,0.03,5400,0.882,730.255,0.347,0.328,0.019
1,2,0.03,5400,0.882,1.525,0.344,0.328,0.016
1,1,0.03,5450,0.89,681.278,0.333,0.331,0.002
1,2,0.03,5450,0.89,2.475,0.334,0.331,0.003
1,1,0.03,5500,0.898,632.302,0.323,0.325,-0.002
1,2,0.03,5500,0.898,3.425,0.323,0.325,-0.002
1,1,0.03,5550,0.906,583.325,0.313,0.316,-0.003
1,2,0.03,5550,0.906,4.375,0.311,0.316,-0.005
1,1,0.03,5600,0.915,534.349,0.302,0.302,-0.001
1,2,0.03,5600,0.915,5.324,0.302,0.302,-0.001
1,1,0.03,5650,0.923,485.372,0.288,0.288,0
