Strike,Maturity,Implied vol.,Option price,Implied delta,Implied gamma,Implied theta,Local delta,Local gamma
4244.76,0.2,0.309375,1839.03,0.992819,0.0000126866,28.8649,0.991356,0.0000176444
4436.25,0.2,0.303125,1650.57,0.988594,0.0000259946,57.9489,0.985638,0.0000361785
4627.74,0.2,0.295313,1463.38,0.980978,0.0000483235,104.949,0.974527,0.0000704774
4819.24,0.2,0.289844,1278.54,0.966686,0.0000857558,182.796,0.955029,0.000125276
5010.73,0.2,0.274609,1094.94,0.948495,0.000133671,269.955,0.93106,0.000190999
5202.22,0.2,0.26875,918.747,0.913745,0.000208824,412.732,0.885937,0.00029354
5393.72,0.2,0.254297,746.003,0.869668,0.000300997,562.916,0.83354,0.000400919
5585.21,0.2,0.243945,585.029,0.803214,0.000413769,742.319,0.756443,0.000524276
5776.7,0.2,0.229785,434.647,0.717243,0.00053837,909.793,0.66593,0.00062841
5968.19,0.2,0.219434,305.285,0.605304,0.000643567,1038.57,0.548804,0.000694387
6159.69,0.2,0.204883,193.885,0.474665,0.000714158,1076.07,0.427174,0.000694584
6351.18,0.2,0.20332,121.053,0.344409,0.000666264,996.246,0.295879,0.000553621
6542.67,0.2,0.183984,56.6104,0.208524,0.000574372,777.166,0.176019,0.000414185
6734.16,0.2,0.193945,34.9731,0.136126,0.000414686,591.478,0.114439,0.000282421
6925.66,0.2,0.181641,13.3359,0.0639337,0.000253912,339.185,0.0528593,0.000150657
7117.15,0.2,0.188281,7.24953,0.0367483,0.000157395,217.94,0.0317069,0.0000959518
7308.64,0.2,0.192188,3.60374,0.0196798,0.0000915856,129.447,0.0168936,0.0000533194
7500.14,0.2,0.1875,1.252,0.00771206,0.0000417222,57.5319,0.0070721,0.0000245046
7691.63,0.2,0.196875,0.768738,0.00481047,0.000026156,37.8705,0.00445375,0.0000156212
4244.76,0.242105,0.303125,1847.87,0.990443,0.0000183863,49.6168,0.987933,0.0000271785
4436.25,0.242105,0.295313,1660.46,0.984994,0.0000336384,88.4363,0.979988,0.0000507312
4627.74,0.242105,0.290625,1474.95,0.974557,0.0000598904,154.955,0.965158,0.0000915447
4819.24,0.242105,0.285156,1292.2,0.957617,0.0000984884,250.024,0.942017,0.000148634
5010.73,0.242105,0.272266,1111.26,0.936032,0.000147027,356.372,0.913477,0.000216294
5202.22,0.242105,0.266797,938.47,0.898836,0.000216139,513.367,0.865617,0.000307366
5393.72,0.242105,0.25332,768.921,0.853633,0.000297908,671.84,0.811877,0.000400425
5585.21,0.242105,0.24502,612.686,0.787717,0.000392051,855.179,0.735224,0.000496521
5776.7,0.242105,0.23125,464.754,0.707432,0.000494219,1017.46,0.649993,0.000577373
5968.19,0.242105,0.222656,338.285,0.605304,0.000576408,1142.56,0.542589,0.000618816
6159.69,0.242105,0.207813,224.698,0.488619,0.000640834,1185.58,0.432639,0.00062388
6351.18,0.242105,0.205664,148.206,0.370148,0.000613829,1123.88,0.315359,0.000524212
6542.67,0.242105,0.186816,76.6758,0.243002,0.000560535,932.249,0.203371,0.000422718
6734.16,0.242105,0.195117,49.8379,0.167712,0.000430333,747.505,0.139039,0.000304762
6925.66,0.242105,0.185352,22.9999,0.0924477,0.000299247,493.787,0.0747069,0.000186807
7117.15,0.242105,0.188672,12.8397,0.0554143,0.000198627,333.626,0.0460917,0.000123847
7308.64,0.242105,0.191406,6.95002,0.0320043,0.000125611,214.041,0.0266213,0.0000749658
7500.14,0.242105,0.185938,2.71022,0.0141979,0.0000650752,107.72,0.0122716,0.000038211
7691.63,0.242105,0.19375,1.72292,0.00903793,0.0000421816,72.7577,0.00801567,0.0000253575
4244.76,0.284211,0.3,1856.79,0.987405,0.0000246128,77.1672,0.983372,0.0000382866
4436.25,0.284211,0.292969,1670.59,0.980201,0.0000422966,129.502,0.973046,0.000065969
4627.74,0.284211,0.289063,1486.95,0.967283,0.000070632,213.375,0.954774,0.000110387
4819.24,0.284211,0.282813,1306.29,0.948399,0.000108789,321.54,0.928832,0.000166715
5010.73,0.284211,0.271484,1127.96,0.924153,0.000156315,443.501,0.896915,0.00023232
5202.22,0.284211,0.26582,958.002,0.885775,0.000219222,609.008,0.847955,0.000312161
5393.72,0.284211,0.252539,790.985,0.840667,0.000292193,771.167,0.794125,0.000393104
5585.21,0.284211,0.245312,638.312,0.776263,0.000372727,955.566,0.719105,0.000470354
5776.7,0.284211,0.231738,492.018,0.700766,0.000459952,1113.94,0.638494,0.000536665
5968.19,0.284211,0.224219,367.669,0.606154,0.000527916,1237.05,0.538649,0.000565344
6159.69,0.284211,0.209375,252.411,0.499571,0.000587172,1284.81,0.437388,0.000573222
6351.18,0.284211,0.207129,173.422,0.390279,0.000571559,1237.23,0.330472,0.000498136
