Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
1,2,0.101,3600,0.594,0,0.537,0.3,0.237
1,1,0.101,3800,0.627,2262.855,0.65,-1,1.65
1,2,0.101,3800,0.627,0.001,0.481,0.3,0.181
1,1,0.101,4000,0.66,2063.675,0.589,-1,1.589
1,2,0.101,4000,0.66,0.009,0.444,0.3,0.144
1,1,0.101,4200,0.693,1864.544,0.532,-1,1.532
1,2,0.101,4200,0.693,0.069,0.399,0.35,0.049
1,1,0.101,4400,0.726,1665.519,0.479,-1,1.479
1,2,0.101,4400,0.726,0.233,0.375,0.338,0.037
1,1,0.101,4600,0.759,1466.936,0.43,0.338,0.092
1,2,0.101,4600,0.759,0.84,0.353,0.338,0.016
1,1,0.101,4800,0.792,1269.436,0.384,0.331,0.053
1,2,0.101,4800,0.792,2.529,0.328,0.331,-0.003
1,1,0.101,5000,0.825,1072.804,0.346,0.311,0.035
1,2,0.101,5000,0.825,5.086,0.309,0.311,-0.002
1,1,0.101,5200,0.858,880.39,0.313,0.301,0.013
1,2,0.101,5200,0.858,11.862,0.289,0.301,-0.012
1,1,0.101,5250,0.866,832.287,0.305,0.294,0.011
1,2,0.101,5250,0.866,13.556,0.283,0.294,-0.011
1,1,0.101,5300,0.874,784.183,0.297,0.286,0.011
1,2,0.101,5300,0.874,15.25,0.277,0.286,-0.009
1,1,0.101,5350,0.882,737.392,0.293,0.282,0.011
1,2,0.101,5350,0.882,18.256,0.275,0.282,-0.007
1,1,0.101,5400,0.891,692.066,0.285,0.281,0.004
1,2,0.101,5400,0.891,22.727,0.269,0.281,-0.012
1,1,0.101,5450,0.899,646.74,0.278,0.278,0
1,2,0.101,5450,0.899,27.199,0.263,0.278,-0.015
1,1,0.101,5500,0.907,601.414,0.271,0.273,-0.001
1,2,0.101,5500,0.907,31.671,0.258,0.273,-0.014
1,1,0.101,5550,0.915,556.089,0.268,0.266,0.002
1,2,0.101,5550,0.915,36.142,0.256,0.266,-0.01
1,1,0.101,5600,0.923,510.763,0.261,0.257,0.004
1,2,0.101,5600,0.923,40.614,0.25,0.257,-0.008
1,1,0.101,5650,0.932,465.437,0.254,0.248,0.007
1,2,0.101,5650,0.932,45.085,0.244,0.248,-0.004
1,1,0.101,5700,0.94,422.365,0.252,0.241,0.011
1,2,0.101,5700,0.94,51.81,0.243,0.241,0.002
1,1,0.101,5750,0.948,385.434,0.245,0.243,0.002
1,2,0.101,5750,0.948,64.677,0.237,0.243,-0.006
1,1,0.101,5800,0.956,348.504,0.239,0.242,-0.003
1,2,0.101,5800,0.956,77.545,0.231,0.242,-0.012
1,1,0.101,5850,0.965,311.574,0.236,0.238,-0.003
1,2,0.101,5850,0.965,90.412,0.228,0.238,-0.011
1,1,0.101,5900,0.973,274.644,0.231,0.232,-0.002
1,2,0.101,5900,0.973,103.279,0.223,0.232,-0.009
1,1,0.101,5950,0.981,237.714,0.225,0.224,0.001
1,2,0.101,5950,0.981,116.146,0.217,0.224,-0.006
1,1,0.101,6000,0.989,200.783,0.222,0.213,0.009
1,2,0.101,6000,0.989,129.013,0.215,0.213,0.002
1,1,0.101,6050,0.998,163.853,0.217,0.199,0.018
1,2,0.101,6050,0.998,141.881,0.21,0.199,0.011
1,1,0.101,6100,1.006,138.928,0.213,0.198,0.015
1,2,0.101,6100,1.006,166.753,0.206,0.198,0.008
1,1,0.101,6150,1.014,122.793,0.211,0.205,0.006
