date,stock(%),vol
0,1.00,0.220687
,,
0.0075,0.953415,0.217452
0.0075,1.001436,0.216434
0.0075,1.051874,0.196064
,,
0.015,0.909001,0.217872
0.015,0.954784,0.228034
0.015,1.002873,0.209393
0.015,1.053384,0.187201
0.015,1.10644,0.193527
,,
0.0225,0.866656,0.218078
0.0225,0.910306,0.232188
0.0225,0.956155,0.232932
0.0225,1.004313,0.200572
0.0225,1.054897,0.176106
0.0225,1.108028,0.184551
0.0225,1.163835,0.194313
,,
0.03,0.826283,0.218722
0.03,0.8679,0.23362
0.03,0.911613,0.244076
0.03,0.957528,0.232806
0.03,1.005755,0.190985
0.03,1.056411,0.163853
0.03,1.109619,0.175166
0.03,1.165506,0.18681
0.03,1.224209,0.195601
,,
0.037619,0.786883,0.219184
0.037619,0.826516,0.234886
0.037619,0.868145,0.24802
0.037619,0.91187,0.252766
0.037619,0.957798,0.228262
0.037619,1.006038,0.181168
0.037619,1.056709,0.15152
0.037619,1.109932,0.165568
0.037619,1.165835,0.179782
0.037619,1.224554,0.189908
0.037619,1.28623,0.197056
,,
0.045238,0.749363,0.219484
0.045238,0.787105,0.235677
0.045238,0.826749,0.250248
0.045238,0.868389,0.261006
0.045238,0.912127,0.257885
0.045238,0.958068,0.220349
0.045238,1.006322,0.172865
0.045238,1.057007,0.139858
0.045238,1.110244,0.156231
0.045238,1.166163,0.173261
0.045238,1.224899,0.184829
0.045238,1.286593,0.19282
0.045238,1.351394,0.198217
,,
0.052857,0.713631,0.219437
0.052857,0.749574,0.236056
0.052857,0.787327,0.251292
0.052857,0.826982,0.264757
0.052857,0.868634,0.272351
0.052857,0.912384,0.259292
0.052857,0.958338,0.210136
0.052857,1.006606,0.165238
0.052857,1.057305,0.129263
0.052857,1.110557,0.14778
0.052857,1.166492,0.167297
0.052857,1.225244,0.180318
0.052857,1.286955,0.189093
0.052857,1.351775,0.195093
0.052857,1.419859,0.199097
,,
0.060476,0.679603,0.219206
0.060476,0.713832,0.235837
0.060476,0.749785,0.251596
0.060476,0.787549,0.266133
0.060476,0.827215,0.278484
0.060476,0.868879,0.281877
0.060476,0.912641,0.257171
0.060476,0.958608,0.199155
0.060476,1.006889,0.160594
0.060476,1.057603,0.119996
0.060476,1.11087,0.140025
0.060476,1.166821,0.162295
0.060476,1.22559,0.176388
0.060476,1.287318,0.185834
0.060476,1.352156,0.192392
0.060476,1.420259,0.196832
0.060476,1.491792,0.199776
,,
0.068095,0.647197,0.218962
0.068095,0.679794,0.23536
0.068095,0.714033,0.251154
0.068095,0.749996,0.266296
0.068095,0.787771,0.280372
0.068095,0.827448,0.291439
0.068095,0.869124,0.289462
0.068095,0.912899,0.251831
0.068095,0.958878,0.189219
0.068095,1.007173,0.158422
0.068095,1.057901,0.113508
0.068095,1.111184,0.134125
0.068095,1.16715,0.158108
0.068095,1.225935,0.173185
0.068095,1.287681,0.183177
0.068095,1.352537,0.19015
0.068095,1.420659,0.194908
0.068095,1.492213,0.198136
0.068095,1.56737,0.200294
,,
0.075714,0.616337,0.218571
0.075714,0.64738,0.234838
0.075714,0.679986,0.250422
0.075714,0.714234,0.265608
0.075714,0.750208,0.280288
0.075714,0.787993,0.294041
0.075714,0.827681,0.303514
0.075714,0.869369,0.295141
0.075714,0.913156,0.24365
0.075714,0.959148,0.181739
0.075714,1.007457,0.15809
0.075714,1.058199,0.109184
0.075714,1.111497,0.129555
0.075714,1.167479,0.155102
0.075714,1.226281,0.170925
0.075714,1.288044,0.18122
0.075714,1.352918,0.188399
0.075714,1.42106,0.193337
0.075714,1.492633,0.196744
0.075714,1.567812,0.199104
0.075714,1.646777,0.20066
,,
0.083333,0.586948,0.216781
0.083333,0.616511,0.232662
0.083333,0.647562,0.248224
0.083333,0.680178,0.263287
0.083333,0.714436,0.278025
0.083333,0.750419,0.292346
0.083333,0.788215,0.305818
0.083333,0.827915,0.313543
0.083333,0.869614,0.29881
0.083333,0.913413,0.234457
0.083333,0.959419,0.179056
0.083333,1.007741,0.160909
0.083333,1.058497,0.108443
0.083333,1.11181,0.127635
0.083333,1.167808,0.153661
0.083333,1.226626,0.169792
0.083333,1.288407,0.180129
0.083333,1.3533,0.187236
0.083333,1.42146,0.192204
0.083333,1.493054,0.195706
0.083333,1.568254,0.198185
0.083333,1.647241,0.199862
0.083333,1.730207,0.20096
,,
0.090228,0.558943,0.215851
0.090228,0.587095,0.230594
0.090228,0.616664,0.245811
0.090228,0.647724,0.260848
0.090228,0.680347,0.275499
0.090228,0.714614,0.289822
0.090228,0.750606,0.303775
0.090228,0.788412,0.316855
0.090228,0.828121,0.322626
0.090228,0.869831,0.301466
0.090228,0.913641,0.224594
0.090228,0.959658,0.181077
0.090228,1.007992,0.165516
0.090228,1.058761,0.109981
0.090228,1.112087,0.127304
0.090228,1.168099,0.153517
0.090228,1.226932,0.16947
0.090228,1.288728,0.179545
0.090228,1.353637,0.186436
0.090228,1.421814,0.191337
0.090228,1.493426,0.194857
0.090228,1.568645,0.197403
0.090228,1.647652,0.199161
0.090228,1.730638,0.200338
0.090228,1.817804,0.20114
,,
0.097123,0.532273,0.214961
0.097123,0.559082,0.228918
0.097123,0.587241,0.243392
0.097123,0.616818,0.258168
0.097123,0.647885,0.272793
0.097123,0.680516,0.287088
0.097123,0.714792,0.301013
0.097123,0.750793,0.314536
0.097123,0.788608,0.327007
0.097123,0.828327,0.330697
0.097123,0.870047,0.303529
0.097123,0.913868,0.21615
0.097123,0.959897,0.188061
0.097123,1.008243,0.170977
0.097123,1.059025,0.11323
0.097123,1.112364,0.128904
0.097123,1.16839,0.154575
0.097123,1.227237,0.169828
0.097123,1.289049,0.179397
0.097123,1.353974,0.185949
0.097123,1.422169,0.190734
0.097123,1.493798,0.194208
0.097123,1.569035,0.196757
0.097123,1.648062,0.198557
0.097123,1.731069,0.199796
0.097123,1.818257,0.200678
0.097123,1.909836,0.201282
,,
