Strike,Maturity,Implied vol.,Option price,Implied delta,Implied gamma,Implied theta,Local delta,Local gamma
6589.66,0.326316,0.182031,23.3988,0.0899915,0.000278203,520.918,0.0715915,0.000180543
6766.96,0.326316,0.185547,14.5043,0.0589149,0.000197374,376.708,0.0475065,0.000126996
6944.26,0.326316,0.183984,7.62649,0.0340559,0.000128062,242.36,0.0283874,0.0000832738
7121.56,0.326316,0.191406,5.32894,0.0238539,0.000091542,180.235,0.0205442,0.0000618584
4107.46,0.368421,0.285938,1586.86,0.977363,0.0000570836,189.562,0.969918,0.0000692716
4284.76,0.368421,0.288672,1421.2,0.958821,0.000091338,306.213,0.944654,0.000114652
4462.06,0.368421,0.284766,1258.3,0.935842,0.000130818,432.637,0.913143,0.000166594
4639.36,0.368421,0.281445,1101.14,0.904317,0.000178458,583.308,0.869865,0.000227062
4816.66,0.368421,0.275586,949.143,0.865463,0.000231796,741.877,0.81799,0.000288112
4993.96,0.368421,0.265527,801.305,0.820065,0.000290955,897.227,0.759183,0.00034963
5171.26,0.368421,0.257422,663.669,0.76284,0.00035297,1055.24,0.687323,0.000401355
5348.56,0.368421,0.242383,528.387,0.698725,0.000422536,1189.42,0.612451,0.00045082
5525.86,0.368421,0.233691,411.904,0.619589,0.000478921,1299.8,0.522656,0.000468401
5703.16,0.368421,0.215234,296.255,0.530561,0.000542852,1356.94,0.4322,0.000484569
5880.46,0.368421,0.210254,214.221,0.434592,0.000549695,1342.25,0.340729,0.000445156
6057.76,0.368421,0.192676,132.834,0.328105,0.000550566,1231.98,0.249241,0.000404678
6235.06,0.368421,0.192969,90.0871,0.244873,0.00047811,1071.48,0.185009,0.000333694
6412.36,0.368421,0.185547,52.8278,0.165516,0.000393498,847.937,0.124647,0.000258378
6589.66,0.368421,0.183594,31.658,0.109648,0.000299925,639.497,0.0850606,0.000196361
6766.96,0.368421,0.185547,19.854,0.0735175,0.000220527,475.208,0.057565,0.000142075
6944.26,0.368421,0.180859,10.2022,0.0421542,0.000145915,306.486,0.0345535,0.0000954063
7121.56,0.368421,0.188281,7.29672,0.0304398,0.000107348,234.73,0.0255934,0.0000725995
4107.46,0.410526,0.283594,1596.11,0.973016,0.0000626979,230.099,0.96393,0.0000765393
4284.76,0.410526,0.284766,1431.71,0.953861,0.000095834,353.16,0.937422,0.000120416
4462.06,0.410526,0.280664,1270.1,0.930214,0.000133955,486.531,0.904918,0.000169958
4639.36,0.410526,0.277539,1114.71,0.898172,0.000179251,643.801,0.860473,0.000226391
4816.66,0.410526,0.271875,964.271,0.859395,0.000229254,806.588,0.80849,0.000282209
4993.96,0.410526,0.262891,818.585,0.814116,0.000283995,966.162,0.749279,0.000337438
5171.26,0.410526,0.255859,683.213,0.757953,0.000340104,1126.1,0.678944,0.000382022
5348.56,0.410526,0.243066,550.982,0.695395,0.000401059,1261.53,0.605221,0.000423363
5525.86,0.410526,0.235693,436.716,0.62023,0.000449568,1371.22,0.521168,0.000437746
5703.16,0.410526,0.220312,324.259,0.537123,0.000501676,1430.3,0.436075,0.000449415
5880.46,0.410526,0.213379,238.191,0.447313,0.000515566,1423.64,0.350135,0.000422218
6057.76,0.410526,0.196484,154.14,0.347775,0.000523095,1330.07,0.264129,0.000392053
6235.06,0.410526,0.194238,105.647,0.264599,0.000468598,1177.88,0.199149,0.00033196
6412.36,0.410526,0.187109,64.9633,0.186232,0.000398336,964.516,0.138784,0.000265294
6589.66,0.410526,0.183789,39.732,0.126763,0.000314494,747.992,0.0965771,0.000207257
6766.96,0.410526,0.185938,26.0227,0.0884814,0.000239777,576.951,0.0679067,0.00015565
6944.26,0.410526,0.181055,14.0718,0.0533979,0.000166876,390.992,0.0424819,0.000108896
