date,stock(%),vol
0,1.00,0.34245
,,
0.0075,0.937646,0.300538
0.0075,1.000284,0.32857
0.0075,1.067106,0.239878
,,
0.015,0.87918,0.296626
0.015,0.937912,0.338411
0.015,1.000568,0.310545
0.015,1.067409,0.235766
0.015,1.138716,0.22343
,,
0.0225,0.824359,0.294775
0.0225,0.879429,0.344979
0.0225,0.938178,0.349364
0.0225,1.000852,0.288961
0.0225,1.067712,0.223955
0.0225,1.139039,0.213327
0.0225,1.215131,0.222434
,,
0.03,0.772957,0.290738
0.03,0.824593,0.345758
0.03,0.879679,0.375597
0.03,0.938444,0.339259
0.03,1.001136,0.265732
0.03,1.068015,0.20632
0.03,1.139363,0.200571
0.03,1.215476,0.214184
0.03,1.296674,0.223641
,,
0.037619,0.724777,0.288155
0.037619,0.773195,0.339757
0.037619,0.824847,0.385043
0.037619,0.87995,0.386557
0.037619,0.938734,0.315119
0.037619,1.001445,0.237072
0.037619,1.068345,0.185415
0.037619,1.139714,0.185434
0.037619,1.215851,0.205668
0.037619,1.297074,0.217172
0.037619,1.383723,0.224547
,,
0.045238,0.679601,0.291726
0.045238,0.725001,0.335011
0.045238,0.773433,0.381816
0.045238,0.825101,0.411761
0.045238,0.880221,0.379049
0.045238,0.939023,0.284406
0.045238,1.001753,0.208878
0.045238,1.068674,0.165558
0.045238,1.140065,0.167109
0.045238,1.216226,0.197078
0.045238,1.297474,0.210719
0.045238,1.38415,0.21931
0.045238,1.476616,0.226064
,,
0.052857,0.63724,0.287835
0.052857,0.67981,0.335421
0.052857,0.725224,0.376669
0.052857,0.773672,0.417062
0.052857,0.825356,0.423999
0.052857,0.880492,0.357498
0.052857,0.939313,0.249249
0.052857,1.002062,0.19076
0.052857,1.069003,0.147777
0.052857,1.140417,0.146679
0.052857,1.2166,0.188163
0.052857,1.297874,0.204272
0.052857,1.384576,0.214472
0.052857,1.477071,0.222615
0.052857,1.575745,0.22795
,,
0.060476,0.59752,0.269734
0.060476,0.637437,0.326465
0.060476,0.68002,0.368473
0.060476,0.725448,0.41331
0.060476,0.77391,0.442209
0.060476,0.82561,0.422229
0.060476,0.880764,0.326701
0.060476,0.939602,0.212241
0.060476,1.002371,0.171376
0.060476,1.069333,0.132453
0.060476,1.140768,0.127726
0.060476,1.216975,0.179586
0.060476,1.298274,0.197971
0.060476,1.385003,0.210122
0.060476,1.477526,0.219737
0.060476,1.57623,0.226298
0.060476,1.681528,0.229237
,,
0.068095,0.560276,0.249418
0.068095,0.597704,0.296598
0.068095,0.637633,0.352047
0.068095,0.680229,0.396499
0.068095,0.725671,0.441398
0.068095,0.774149,0.455851
0.068095,0.825865,0.410076
0.068095,0.881035,0.290477
0.068095,0.939892,0.18715
0.068095,1.00268,0.149757
0.068095,1.069662,0.113634
0.068095,1.14112,0.111519
0.068095,1.217351,0.172722
0.068095,1.298674,0.192573
0.068095,1.38543,0.206398
0.068095,1.477982,0.217388
0.068095,1.576716,0.225003
0.068095,1.682047,0.228639
0.068095,1.794413,0.229806
,,
0.075714,0.525353,0.236901
0.075714,0.560449,0.262725
0.075714,0.597889,0.314463
0.075714,0.63783,0.369971
0.075714,0.680439,0.419854
0.075714,0.725895,0.461145
0.075714,0.774387,0.460177
0.075714,0.826119,0.388843
0.075714,0.881307,0.255444
0.075714,0.940181,0.177737
