Strike,Maturity,Implied vol.,Option price,Implied delta,Implied gamma,Implied theta,Local delta,Local gamma
3858.6,0.2,0.339063,1687.99,0.99318,0.0000217756,44.8686,0.990149,0.0000353688
4032.67,0.2,0.326563,1516.93,0.988121,0.0000374981,74.4164,0.983204,0.0000593656
4206.74,0.2,0.317188,1347.45,0.978842,0.0000640569,123.474,0.970013,0.000100988
4380.81,0.2,0.307031,1179.82,0.964094,0.000103435,192.993,0.950657,0.000156523
4554.88,0.2,0.291797,1013.92,0.94411,0.000155855,276.372,0.925519,0.000225099
4728.96,0.2,0.283594,854.3,0.909527,0.000232517,400.723,0.883095,0.000320334
4903.03,0.2,0.266602,697.201,0.867089,0.000326228,528.538,0.834725,0.000421289
5077.1,0.2,0.257227,552.556,0.801278,0.000439292,686.691,0.759977,0.000535735
5251.17,0.2,0.241113,414.891,0.720046,0.000565861,829.131,0.675759,0.000636801
5425.24,0.2,0.233398,299.509,0.612758,0.000665157,943.441,0.561321,0.000695147
5599.32,0.2,0.21709,195.164,0.490164,0.000744987,982.836,0.443624,0.000710022
5773.39,0.2,0.215039,125.911,0.365398,0.000709156,926.726,0.315571,0.000586785
5947.46,0.2,0.193555,61.5469,0.231029,0.000637879,750.3,0.193908,0.000461043
6121.53,0.2,0.201855,38.2609,0.153598,0.000475943,583.833,0.125861,0.00031415
6295.6,0.2,0.1875,14.9748,0.0748915,0.000305889,348.544,0.0578128,0.000167257
6469.68,0.2,0.191406,7.84213,0.0420132,0.000190038,221.05,0.0335837,0.00010505
6643.75,0.2,0.195313,3.99675,0.0229966,0.000113153,134.304,0.0182653,0.0000600495
6817.82,0.2,0.190625,1.47945,0.00938648,0.0000536613,62.1633,0.00797611,0.0000291226
6991.89,0.2,0.201563,0.926516,0.00625509,0.0000355033,43.4882,0.00512222,0.0000189954
3858.6,0.242105,0.329688,1695.83,0.990054,0.0000286121,69.3934,0.98536,0.000048566
4032.67,0.242105,0.31875,1525.87,0.983316,0.0000469924,110.191,0.975912,0.0000776793
4206.74,0.242105,0.312891,1358.25,0.970886,0.0000773015,177.929,0.958675,0.000124671
4380.81,0.242105,0.303516,1192.72,0.953371,0.000117649,262.685,0.935498,0.00018193
4554.88,0.242105,0.290234,1029.52,0.930169,0.000169476,361.846,0.90575,0.000250547
4728.96,0.242105,0.281836,872.83,0.893864,0.00023905,495.623,0.860839,0.000334757
4903.03,0.242105,0.265625,718.468,0.850662,0.000322052,629.305,0.811032,0.000422333
5077.1,0.242105,0.257617,577.636,0.78605,0.000416459,789.248,0.737215,0.000510854
5251.17,0.242105,0.241895,441.938,0.710012,0.000521276,927.6,0.657628,0.000589526
5425.24,0.242105,0.234766,328.368,0.612012,0.000601317,1038.5,0.553175,0.000625757
5599.32,0.242105,0.218652,222.633,0.501578,0.000672424,1081.59,0.446919,0.000638618
5773.39,0.242105,0.216797,151.25,0.388274,0.000651489,1039.03,0.332752,0.000549004
5947.46,0.242105,0.19707,81.9774,0.264791,0.000612427,887.856,0.22076,0.000457552
6121.53,0.242105,0.20332,53.4473,0.185497,0.000484774,725.081,0.150714,0.000330629
6295.6,0.242105,0.191211,24.9171,0.104671,0.000349783,492.014,0.0806695,0.000203706
6469.68,0.242105,0.192188,13.5864,0.0621573,0.000234903,332.109,0.0487549,0.000134328
6643.75,0.242105,0.194531,7.39064,0.0363576,0.000151079,216.202,0.0282239,0.0000821304
