Maturity,Price
0.0833333333333,0.996229237494
0.166666666667,0.992529139666
0.25,0.988958405213
0.333333333333,0.985649287089
0.416666666667,0.982209911622
0.5,0.978853206404
0.583333333333,0.975579694986
0.666666666667,0.972376854239
0.75,0.969242930105
0.833333333333,0.966045804157
0.916666666667,0.962892281675
1,0.959780402244
1.08333333333,0.956491761765
1.16666666667,0.953212712512
1.25,0.949942093517
1.33333333333,0.946671188239
1.41666666667,0.943409810616
1.5,0.940155458588
1.58333333333,0.936801150928
1.66666666667,0.933444491447
1.75,0.930085593341
1.83333333333,0.926841934914
1.91666666667,0.923604346781
2,0.920376155811
2.08333333333,0.916998107143
2.16666666667,0.913618309339
2.25,0.910233165135
2.33333333333,0.90683855397
2.41666666667,0.903440310794
2.5,0.900038574185
2.58333333333,0.896557989414
2.66666666667,0.893069935501
2.75,0.8895769535
2.83333333333,0.886137161321
2.91666666667,0.882693646008
3,0.879246557542
3.08333333333,0.875785698836
3.16666666667,0.872321092846
3.25,0.868850190976
3.33333333333,0.865384023253
3.41666666667,0.86191198428
3.5,0.858436930823
3.58333333333,0.854859316814
3.66666666667,0.851272238073
3.75,0.847681826208
3.83333333333,0.844159661373
3.91666666667,0.840631071863
4,0.837102471041
4.08333333333,0.833603483522
4.16666666667,0.830102761246
4.25,0.82660045209
4.33333333333,0.823086473271
4.41666666667,0.819574359902
4.5,0.816057392407
4.58333333333,0.812428804702
4.66666666667,0.808792474588
4.75,0.805152118711
4.83333333333,0.801604165808
4.91666666667,0.798055010195
5,0.794504809809
5.08333333333,0.790972919208
5.16666666667,0.787440747487
5.25,0.783912370906
5.33333333333,0.780364230238
5.41666666667,0.776815901279
5.5,0.77326753603
5.58333333333,0.769616774055
5.66666666667,0.765964219437
5.75,0.762310065974
5.83333333333,0.758738928526
5.91666666667,0.755168149666
6,0.751597885344
6.08333333333,0.748110726389
6.16666666667,0.744625841765
6.25,0.741143353055
6.33333333333,0.737654475716
6.41666666667,0.734168088108
6.5,0.730679787253
6.58333333333,0.72712573473
6.66666666667,0.723573423016
6.75,0.720022998875
6.83333333333,0.716516574459
6.91666666667,0.713012923507
7,0.709512175251
7.08333333333,0.706119211142
7.16666666667,0.702730813946
7.25,0.699351901905
7.33333333333,0.695958372307
7.41666666667,0.69257438631
7.5,0.689195210571
7.58333333333,0.68572692336
7.66666666667,0.682262531936
7.75,0.678802156379
7.83333333333,0.675406298704
7.91666666667,0.672020406593
8,0.668639573302
8.08333333333,0.665407080413
8.16666666667,0.662181329828
8.25,0.658957207883
8.33333333333,0.655724300725
8.41666666667,0.652498092598
8.5,0.649278642074
8.58333333333,0.645992228681
8.66666666667,0.642712017105
8.75,0.639438083597
8.83333333333,0.636223896341
8.91666666667,0.633021949207
9,0.62982160027
9.08333333333,0.626736387017
9.16666666667,0.623653676774
9.25,0.620584339685
9.33333333333,0.617523000372
9.41666666667,0.614469690418
9.5,0.611418925602
9.58333333333,0.608293183009
9.66666666667,0.605174938432
9.75,0.602058669253
9.83333333333,0.599005868987
9.91666666667,0.595961039379
10,0.592924217296
10.0833333333,0.589980117301
10.1666666667,0.587038959382
10.25,0.584112070891
10.3333333333,0.581182426852
10.4166666667,0.578261373828
10.5,0.575348930724
10.5833333333,0.572376152821
10.6666666667,0.569405895224
10.75,0.566443921893
10.8333333333,0.563542374518
10.9166666667,0.560643620828
11,0.557759276804
11.0833333333,0.554895236261
11.1666666667,0.552039908546
11.25,0.549193311256
11.3333333333,0.546349591218
11.4166666667,0.543508728986
11.5,0.540682495148
11.5833333333,0.537776462135
11.6666666667,0.534878906153
11.75,0.53198985956
11.8333333333,0.52916868995
11.9166666667,0.526356277641
12,0.523552642868
12.0833333333,0.520906871573
12.1666666667,0.518270392718
12.25,0.515643200948
12.3333333333,0.513013302851
12.4166666667,0.510398645978
12.5,0.507787228752
12.5833333333,0.50510677235
12.6666666667,0.502435333717
