Active,"Option
type",Maturity,Strike,Moneyness,"Option
price","Implied
vol.","Calibrated
vol.","Market vol. -
Calibrated vol."
1,1,0.115,5200,0.84,1004.062,0.261,0.258,0.003
1,2,0.115,5200,0.84,3.983,0.26,0.258,0.002
1,1,0.115,5400,0.873,809.589,0.234,0.241,-0.006
1,2,0.115,5400,0.873,8.468,0.234,0.241,-0.006
1,1,0.115,5600,0.905,617.913,0.218,0.216,0.002
1,2,0.115,5600,0.905,15.748,0.218,0.216,0.002
1,1,0.115,5700,0.921,528.045,0.21,0.213,-0.003
1,2,0.115,5700,0.921,25.359,0.21,0.213,-0.003
1,1,0.115,5750,0.929,483.111,0.206,0.209,-0.003
1,2,0.115,5750,0.929,30.164,0.205,0.209,-0.003
1,1,0.115,5800,0.937,438.178,0.201,0.202,-0.001
1,2,0.115,5800,0.937,34.97,0.201,0.202,-0.001
1,1,0.115,5850,0.945,393.244,0.2,0.194,0.006
1,2,0.115,5850,0.945,39.775,0.199,0.194,0.006
1,1,0.115,5900,0.954,351.082,0.195,0.189,0.006
1,2,0.115,5900,0.954,47.353,0.195,0.189,0.006
1,1,0.115,5950,0.962,316.208,0.191,0.193,-0.002
1,2,0.115,5950,0.962,62.218,0.191,0.193,-0.002
1,1,0.115,6000,0.97,281.335,0.189,0.193,-0.004
1,2,0.115,6000,0.97,77.084,0.189,0.193,-0.004
1,1,0.115,6050,0.978,246.461,0.184,0.191,-0.006
1,2,0.115,6050,0.978,91.95,0.184,0.191,-0.006
1,1,0.115,6100,0.986,211.588,0.183,0.185,-0.002
1,2,0.115,6100,0.986,106.816,0.183,0.185,-0.002
1,2,0.115,5000,0.808,1.578,0.284,0.27,0.014
1,2,0.115,6150,0.994,121.681,0.18,0.178,0.002
1,1,0.115,6200,1.002,141.841,0.177,0.167,0.011
1,2,0.115,6200,1.002,136.547,0.177,0.167,0.011
1,1,0.115,6250,1.01,123.099,0.174,0.172,0.002
1,2,0.115,6250,1.01,167.545,0.174,0.172,0.002
1,1,0.115,6300,1.018,105.703,0.172,0.176,-0.004
1,2,0.115,6300,1.018,199.887,0.172,0.176,-0.004
1,1,0.115,6350,1.026,88.306,0.171,0.177,-0.006
1,2,0.115,6350,1.026,232.23,0.171,0.177,-0.006
1,1,0.115,6400,1.034,70.909,0.167,0.174,-0.007
1,2,0.115,6400,1.034,264.572,0.167,0.175,-0.007
1,1,0.115,6450,1.042,53.512,0.167,0.169,-0.002
1,2,0.115,6450,1.042,296.915,0.167,0.169,-0.002
1,1,0.115,6500,1.051,36.116,0.163,0.158,0.005
1,2,0.115,6500,1.051,329.257,0.163,0.158,0.005
1,1,0.115,6600,1.067,19.32,0.163,0.154,0.009
1,2,0.115,6600,1.067,411.94,0.163,0.154,0.009
1,1,0.115,6700,1.083,13.844,0.162,0.164,-0.003
1,2,0.115,6700,1.083,505.943,0.162,0.164,-0.002
1,1,0.115,6800,1.099,8.369,0.162,0.168,-0.006
1,2,0.115,6800,1.099,599.946,0.162,0.168,-0.006
1,1,0.115,6900,1.115,3.297,0.164,0.159,0.005
1,2,0.115,6900,1.115,694.353,0.164,0.159,0.005
1,1,0.115,7000,1.131,2.541,0.164,0.17,-0.006
1,2,0.115,7000,1.131,793.074,0.166,0.17,-0.005
1,1,0.115,6150,0.994,176.714,0.18,0.178,0.002
1,1,0.115,5000,0.808,1200.613,0.284,0.27,0.014
1,2,0.192,5200,0.84,12.967,0.249,0.25,-0.001
1,1,0.192,5400,0.873,841.653,0.234,0.237,-0.003
1,2,0.192,5400,0.873,23.169,0.233,0.237,-0.003
1,1,0.192,5600,0.905,657.987,0.22,0.218,0.002
1,2,0.192,5600,0.905,37.781,0.22,0.218,0.001
1,1,0.192,5800,0.937,491.114,0.208,0.21,-0.002
1,2,0.192,5800,0.937,69.187,0.208,0.21,-0.002
1,1,0.192,5850,0.945,449.443,0.204,0.204,0
1,2,0.192,5850,0.945,77.085,0.204,0.204,-0.001
1,1,0.192,5900,0.954,407.772,0.202,0.198,0.004
1,2,0.192,5900,0.954,84.983,0.202,0.198,0.004
1,1,0.192,5950,0.962,373.906,0.2,0.199,0.002
1,2,0.192,5950,0.962,100.687,0.2,0.199,0.002
1,1,0.192,6000,0.97,340.815,0.197,0.199,-0.002
1,2,0.192,6000,0.97,117.166,0.197,0.199,-0.002
1,1,0.192,6050,0.978,307.725,0.195,0.197,-0.002
1,2,0.192,6050,0.978,133.644,0.195,0.197,-0.002
1,1,0.192,6100,0.986,274.634,0.192,0.193,-0.001
1,2,0.192,6100,0.986,150.123,0.192,0.193,-0.001
1,1,0.192,6150,0.994,241.543,0.188,0.188,0
1,2,0.192,6150,0.994,166.602,0.188,0.188,0
1,1,0.192,6200,1.002,208.452,0.186,0.182,0.004
1,2,0.192,6200,1.002,183.08,0.186,0.182,0.004
1,1,0.192,6250,1.01,182.439,0.184,0.18,0.004
1,2,0.192,6250,1.01,206.636,0.184,0.18,0.004
1,1,0.192,6300,1.018,162.517,0.181,0.182,-0.001
1,2,0.192,6300,1.018,236.284,0.181,0.182,-0.001
1,1,0.192,6350,1.026,142.595,0.179,0.182,-0.004
1,2,0.192,6350,1.026,265.931,0.179,0.182,-0.004
1,1,0.192,6400,1.034,122.673,0.177,0.18,-0.003
1,2,0.192,6400,1.034,295.579,0.177,0.18,-0.003
1,1,0.192,6450,1.042,102.751,0.173,0.177,-0.004
1,2,0.192,6450,1.042,325.227,0.173,0.177,-0.004
1,1,0.192,6500,1.051,82.829,0.174,0.171,0.003
1,2,0.192,6500,1.051,354.874,0.174,0.171,0.003
1,1,0.192,6600,1.067,54.032,0.171,0.165,0.007
1,2,0.192,6600,1.067,425.215,0.171,0.165,0.007
1,1,0.192,6700,1.083,41.086,0.168,0.171,-0.003
1,2,0.192,6700,1.083,511.408,0.168,0.171,-0.003
1,1,0.192,6800,1.099,28.14,0.168,0.171,-0.003
1,2,0.192,6800,1.099,597.601,0.168,0.171,-0.003
1,1,0.192,6900,1.115,15.194,0.166,0.162,0.004
1,2,0.192,6900,1.115,683.794,0.167,0.162,0.004
1,1,0.192,7000,1.131,10.967,0.166,0.167,-0.001
1,2,0.192,7000,1.131,778.706,0.166,0.167,-0.001
1,1,0.192,5200,0.84,1029.728,0.25,0.25,0
1,2,0.192,5000,0.808,6.763,0.261,0.262,-0.001
1,1,0.192,5000,0.808,1221.803,0.263,0.262,0.001
1,1,0.288,4000,0.646,2223.919,0.334,0.313,0.022
1,2,0.288,4000,0.646,0.949,0.325,0.313,0.013
1,1,0.288,4200,0.679,2027.601,0.317,0.306,0.011
1,2,0.288,4200,0.679,2.076,0.311,0.306,0.005
1,1,0.288,4400,0.711,1832.077,0.302,0.297,0.005
1,2,0.288,4400,0.711,3.996,0.3,0.297,0.003
1,1,0.288,4600,0.743,1637.65,0.289,0.287,0.002
1,2,0.288,4600,0.743,7.015,0.288,0.287,0.001
1,1,0.288,4800,0.776,1444.678,0.272,0.274,-0.002
1,2,0.288,4800,0.776,11.488,0.271,0.274,-0.003
1,1,0.288,5000,0.808,1254.672,0.261,0.263,-0.003
1,2,0.288,5000,0.808,18.926,0.26,0.264,-0.004
1,1,0.288,5200,0.84,1068.099,0.256,0.251,0.005
1,2,0.288,5200,0.84,29.799,0.256,0.251,0.004
1,1,0.288,5250,0.849,1021.847,0.25,0.247,0.003
1,2,0.288,5250,0.849,32.908,0.25,0.247,0.002
1,1,0.288,5300,0.857,975.596,0.244,0.243,0.001
1,2,0.288,5300,0.857,36.018,0.244,0.243,0.001
1,1,0.288,5350,0.865,929.948,0.238,0.239,-0.001
