date,stock(%),vol
0,1.00,0.251374
,,
0.0075,0.948702,0.230476
0.0075,0.999895,0.246736
0.0075,1.05385,0.203514
,,
0.015,0.900035,0.229597
0.015,0.948602,0.246897
0.015,0.999789,0.239083
0.015,1.053739,0.198276
0.015,1.110599,0.196889
,,
0.0225,0.853865,0.226328
0.0225,0.89994,0.251154
0.0225,0.948502,0.252914
0.0225,0.999684,0.229668
0.0225,1.053628,0.191338
0.0225,1.110482,0.190258
0.0225,1.170405,0.196578
,,
0.03,0.810064,0.222102
0.03,0.853775,0.24673
0.03,0.899846,0.267022
0.03,0.948402,0.249411
0.03,0.999579,0.217696
0.03,1.053517,0.183217
0.03,1.110365,0.181963
0.03,1.170281,0.189504
0.03,1.233431,0.196575
,,
0.037619,0.768806,0.221472
0.037619,0.810291,0.239794
0.037619,0.854015,0.264326
0.037619,0.900098,0.276326
0.037619,0.948668,0.238697
0.037619,0.999859,0.204109
0.037619,1.053812,0.167479
0.037619,1.110677,0.171877
0.037619,1.17061,0.181088
0.037619,1.233777,0.190405
0.037619,1.300353,0.197624
,,
0.045238,0.729649,0.221228
0.045238,0.769022,0.238876
0.045238,0.810519,0.256583
0.045238,0.854255,0.279233
0.045238,0.900351,0.278968
0.045238,0.948935,0.2242
0.045238,1.00014,0.195123
0.045238,1.054108,0.147712
0.045238,1.110989,0.160513
0.045238,1.170939,0.171473
0.045238,1.234123,0.184091
0.045238,1.300718,0.19305
0.045238,1.370905,0.199219
,,
0.052857,0.692487,0.217555
0.052857,0.729854,0.237347
0.052857,0.769237,0.254959
0.052857,0.810746,0.272725
0.052857,0.854495,0.291271
0.052857,0.900604,0.275479
0.052857,0.949201,0.205866
0.052857,1.000421,0.186196
0.052857,1.054404,0.126629
0.052857,1.111301,0.147535
0.052857,1.171267,0.161337
0.052857,1.23447,0.177751
0.052857,1.301083,0.188939
0.052857,1.37129,0.196433
0.052857,1.445286,0.200852
,,
0.060476,0.657217,0.211629
0.060476,0.692681,0.229631
0.060476,0.730059,0.251051
0.060476,0.769453,0.26974
0.060476,0.810974,0.288067
0.060476,0.854735,0.300287
0.060476,0.900857,0.26612
0.060476,0.949468,0.184824
0.060476,1.000702,0.170993
0.060476,1.0547,0.107623
0.060476,1.111613,0.133585
0.060476,1.171596,0.151714
0.060476,1.234817,0.171741
0.060476,1.301448,0.185343
0.060476,1.371675,0.194252
0.060476,1.445692,0.19959
0.060476,1.523703,0.201932
,,
0.068095,0.623744,0.206675
0.068095,0.657402,0.218493
0.068095,0.692876,0.239319
0.068095,0.730264,0.262646
0.068095,0.769669,0.283234
0.068095,0.811201,0.302313
0.068095,0.854975,0.306025
0.068095,0.90111,0.250937
0.068095,0.949734,0.164682
0.068095,1.000983,0.146865
0.068095,1.054996,0.064297
0.068095,1.111925,0.122042
0.068095,1.171925,0.144703
0.068095,1.235163,0.166721
0.068095,1.301814,0.182347
0.068095,1.372061,0.192635
0.068095,1.446098,0.198752
0.068095,1.524131,0.201518
0.068095,1.606374,0.20241
,,
0.075714,0.591976,0.204014
0.075714,0.623919,0.209584
0.075714,0.657586,0.223817
0.075714,0.69307,0.247223
0.075714,0.730469,0.27257
0.075714,0.769886,0.29549
0.075714,0.811429,0.315167
0.075714,0.855215,0.308192
0.075714,0.901363,0.231501
0.075714,0.950001,0.148522
0.075714,1.001264,0.129506
0.075714,1.055293,0.064297
0.075714,1.112237,0.107466
0.075714,1.172254,0.141028
0.075714,1.23551,0.163505
0.075714,1.302179,0.180103
0.075714,1.372446,0.191523
0.075714,1.446504,0.198255
0.075714,1.524559,0.201294
0.075714,1.606825,0.202309
0.075714,1.693531,0.202559
,,
0.083333,0.561825,0.202943
0.083333,0.592142,0.20481
0.083333,0.624094,0.211424
0.083333,0.657771,0.227443
0.083333,0.693265,0.252831
0.083333,0.730674,0.279828
0.083333,0.770102,0.304642
0.083333,0.811657,0.324395
0.083333,0.855455,0.307173
0.083333,0.901616,0.215277
0.083333,0.950268,0.140441
0.083333,1.001545,0.134906
0.083333,1.055589,0.064297
0.083333,1.112549,0.091136
0.083333,1.172583,0.137681
0.083333,1.235857,0.162189
0.083333,1.302545,0.178954
0.083333,1.372831,0.190983
0.083333,1.44691,0.198067
0.083333,1.524987,0.201222
0.083333,1.607276,0.202276
0.083333,1.694006,0.202543
0.083333,1.785416,0.202595
,,
0.08968,0.533183,0.202686
0.08968,0.561954,0.203204
0.08968,0.592277,0.205546
0.08968,0.624237,0.213244
0.08968,0.657921,0.230934
0.08968,0.693423,0.257955
0.08968,0.730841,0.286312
0.08968,0.770278,0.312606
0.08968,0.811842,0.332104
0.08968,0.85565,0.304418
0.08968,0.901822,0.201396
0.08968,0.950485,0.132118
0.08968,1.001774,0.117766
0.08968,1.05583,0.064297
0.08968,1.112804,0.073103
0.08968,1.172851,0.134441
0.08968,1.236139,0.161729
